county,state,low,med,high
Pennington,MN,0.12,0.08,0.04
Pine,MN,0.13,0.09,0.05
Pipestone,MN,0.12,0.08,0.04
Polk,MN,0.12,0.08,0.04
Pope,MN,0.11,0.07,0.04
Ramsey,MN,0.11,0.07,0.04
Red Lake,MN,0.12,0.08,0.04
Redwood,MN,0.12,0.08,0.04
Renville,MN,0.12,0.08,0.04
Rice,MN,0.12,0.08,0.04
Rock,MN,0.12,0.08,0.04
Roseau,MN,0.12,0.08,0.04
St. Louis,MN,0.11,0.07,0.04
Scott,MN,0.09,0.06,0.03
Sherburne,MN,0.13,0.09,0.05
Sibley,MN,0.12,0.08,0.04
Stearns,MN,0.12,0.08,0.04
Steele,MN,0.12,0.08,0.04
Stevens,MN,0.11,0.07,0.04
Swift,MN,0.11,0.07,0.04
Todd,MN,0.12,0.08,0.04
Traverse,MN,0.11,0.07,0.04
Wabasha,MN,0.12,0.08,0.04
Wadena,MN,0.12,0.08,0.04
Waseca,MN,0.12,0.07,0.04
Washington,MN,0.09,0.06,0.03
Watonwan,MN,0.12,0.08,0.04
Wilkin,MN,0.11,0.07,0.04
Winona,MN,0.12,0.08,0.04
Wright,MN,0.11,0.08,0.04
Yellow Medicine,MN,0.12,0.08,0.04
Adams,MS,0.28,0.18,0.12
Alcorn,MS,0.30,0.20,0.14
Amite,MS,0.28,0.18,0.12
Attala,MS,0.31,0.19,0.13
Benton,MS,0.30,0.20,0.14
Bolivar,MS,0.31,0.19,0.13
Calhoun,MS,0.28,0.18,0.12
Carroll,MS,0.31,0.19,0.13
Chickasaw,MS,0.28,0.18,0.12
Choctaw,MS,0.28,0.17,0.11
Claiborne,MS,0.28,0.18,0.12
Clarke,MS,0.29,0.18,0.13
Clay,MS,0.28,0.17,0.11
Coahoma,MS,0.30,0.19,0.13
Copiah,MS,0.27,0.17,0.11
Covington,MS,0.30,0.19,0.13
DeSoto,MS,0.26,0.17,0.11
Forrest,MS,0.29,0.18,0.13
Franklin,MS,0.28,0.18,0.12
George,MS,0.29,0.19,0.13
Greene,MS,0.30,0.19,0.13
Grenada,MS,0.31,0.19,0.13
Hancock,MS,0.29,0.19,0.13
Harrison,MS,0.29,0.18,0.12
Hinds,MS,0.27,0.16,0.11
Holmes,MS,0.31,0.19,0.13
Humphreys,MS,0.31,0.19,0.13
Issaquena,MS,0.31,0.19,0.13
Itawamba,MS,0.28,0.18,0.12
Jackson,MS,0.27,0.17,0.12
Jasper,MS,0.30,0.19,0.13
Jefferson,MS,0.28,0.18,0.12
Jefferson Davis,MS,0.30,0.19,0.13
Jones,MS,0.30,0.19,0.13
Kemper,MS,0.30,0.19,0.13
Lafayette,MS,0.28,0.18,0.12
Lamar,MS,0.29,0.18,0.13
Lauderdale,MS,0.29,0.18,0.13
Lawrence,MS,0.28,0.18,0.12
Leake,MS,0.30,0.19,0.13
Lee,MS,0.28,0.18,0.13
Leflore,MS,0.31,0.19,0.13
Lincoln,MS,0.28,0.18,0.12
Lowndes,MS,0.28,0.17,0.11
Madison,MS,0.26,0.16,0.11
Marion,MS,0.29,0.18,0.13
Marshall,MS,0.30,0.20,0.14
Monroe,MS,0.28,0.18,0.12
Montgomery,MS,0.31,0.19,0.13
Neshoba,MS,0.30,0.19,0.13
Newton,MS,0.29,0.18,0.13
Noxubee,MS,0.28,0.17,0.11
Oktibbeha,MS,0.28,0.17,0.11
Panola,MS,0.30,0.19,0.13
Pearl River,MS,0.29,0.19,0.13
Perry,MS,0.29,0.18,0.13
Pike,MS,0.28,0.18,0.12
Pontotoc,MS,0.28,0.18,0.13
Prentiss,MS,0.30,0.20,0.14
Quitman,MS,0.30,0.19,0.13
Rankin,MS,0.27,0.18,0.12
Scott,MS,0.30,0.19,0.13
Sharkey,MS,0.31,0.19,0.13
Simpson,MS,0.27,0.18,0.12
Smith,MS,0.30,0.19,0.13
Stone,MS,0.29,0.19,0.13
Sunflower,MS,0.31,0.19,0.13
Tallahatchie,MS,0.30,0.19,0.13
Tate,MS,0.30,0.19,0.13
Tippah,MS,0.30,0.20,0.14
Tishomingo,MS,0.30,0.20,0.14
Tunica,MS,0.30,0.19,0.13
Union,MS,0.28,0.18,0.13
Walthall,MS,0.28,0.18,0.12
Warren,MS,0.27,0.17,0.11
Washington,MS,0.31,0.19,0.13
Wayne,MS,0.30,0.19,0.13
Webster,MS,0.28,0.17,0.11
Wilkinson,MS,0.28,0.18,0.12
Winston,MS,0.28,0.17,0.11
Yalobusha,MS,0.31,0.19,0.13
Yazoo,MS,0.26,0.17,0.11
Adair,MO,0.21,0.15,0.09
Andrew,MO,0.21,0.15,0.09
Atchison,MO,0.21,0.15,0.09
Audrain,MO,0.21,0.15,0.09
Barry,MO,0.20,0.14,0.09
Barton,MO,0.22,0.16,0.10
Bates,MO,0.19,0.14,0.08
Benton,MO,0.22,0.16,0.09
Bollinger,MO,0.20,0.14,0.09
Boone,MO,0.17,0.12,0.07
Buchanan,MO,0.21,0.15,0.09
Butler,MO,0.23,0.17,0.10
Caldwell,MO,0.20,0.14,0.09
Callaway,MO,0.19,0.14,0.08
Camden,MO,0.22,0.15,0.09
Cape Girardeau,MO,0.20,0.14,0.09
Carroll,MO,0.21,0.15,0.09
Carter,MO,0.23,0.17,0.10
Cass,MO,0.19,0.14,0.08
Cedar,MO,0.22,0.16,0.10
Chariton,MO,0.21,0.15,0.09
Christian,MO,0.19,0.14,0.09
Clark,MO,0.21,0.15,0.09
Clay,MO,0.17,0.13,0.07
Clinton,MO,0.20,0.14,0.09
Cole,MO,0.19,0.14,0.08
Cooper,MO,0.21,0.15,0.09
Crawford,MO,0.19,0.14,0.08
Dade,MO,0.22,0.16,0.10
Dallas,MO,0.22,0.16,0.09
Daviess,MO,0.21,0.15,0.09
DeKalb,MO,0.21,0.15,0.09
Dent,MO,0.19,0.14,0.08
Douglas,MO,0.23,0.16,0.10
Dunklin,MO,0.24,0.17,0.10
Franklin,MO,0.20,0.15,0.09
Gasconade,MO,0.19,0.14,0.08
Gentry,MO,0.21,0.15,0.09
Greene,MO,0.20,0.14,0.09
Grundy,MO,0.21,0.15,0.09
Harrison,MO,0.21,0.15,0.09
Henry,MO,0.22,0.16,0.10
Hickory,MO,0.22,0.16,0.09
Holt,MO,0.21,0.15,0.09
Howard,MO,0.21,0.15,0.09
Howell,MO,0.23,0.16,0.10
Iron,MO,0.23,0.17,0.10
Jackson,MO,0.18,0.13,0.08
Jasper,MO,0.22,0.16,0.09
Jefferson,MO,0.20,0.14,0.08
Johnson,MO,0.20,0.14,0.09
Knox,MO,0.21,0.15,0.09
Laclede,MO,0.22,0.16,0.09
Lafayette,MO,0.20,0.14,0.09
Lawrence,MO,0.22,0.16,0.10
Lewis,MO,0.21,0.15,0.09
Lincoln,MO,0.21,0.15,0.09
Linn,MO,0.21,0.15,0.09
Livingston,MO,0.21,0.15,0.09
McDonald,MO,0.20,0.14,0.09
Macon,MO,0.21,0.15,0.09
Madison,MO,0.23,0.17,0.10
Maries,MO,0.19,0.14,0.08
Marion,MO,0.21,0.15,0.09
Mercer,MO,0.21,0.15,0.09
Miller,MO,0.22,0.15,0.09
Mississippi,MO,0.24,0.17,0.10
Moniteau,MO,0.19,0.14,0.08
Monroe,MO,0.21,0.15,0.09
Montgomery,MO,0.21,0.15,0.09
Morgan,MO,0.22,0.15,0.09
New Madrid,MO,0.24,0.17,0.10
Newton,MO,0.22,0.16,0.09
Nodaway,MO,0.21,0.15,0.09
Oregon,MO,0.23,0.16,0.10
Osage,MO,0.19,0.14,0.08
Ozark,MO,0.23,0.16,0.10
Pemiscot,MO,0.24,0.17,0.10
Perry,MO,0.23,0.16,0.10
Pettis,MO,0.21,0.15,0.09
Phelps,MO,0.19,0.14,0.08
Pike,MO,0.21,0.15,0.09
Platte,MO,0.17,0.12,0.07
Polk,MO,0.22,0.16,0.09
Pulaski,MO,0.22,0.15,0.09
Putnam,MO,0.21,0.15,0.09
Ralls,MO,0.21,0.15,0.09
Randolph,MO,0.21,0.15,0.09
Ray,MO,0.20,0.14,0.09
Reynolds,MO,0.23,0.17,0.10
Ripley,MO,0.23,0.17,0.10
St. Charles,MO,0.15,0.11,0.06
St. Clair,MO,0.22,0.16,0.10
Ste. Genevieve,MO,0.23,0.16,0.10
St. Francois,MO,0.23,0.16,0.10
St. Louis,MO,0.15,0.11,0.06
Saline,MO,0.21,0.15,0.09
Schuyler,MO,0.21,0.15,0.09
Scotland,MO,0.21,0.15,0.09
Scott,MO,0.20,0.14,0.09
Shannon,MO,0.23,0.16,0.10
Shelby,MO,0.21,0.15,0.09
Stoddard,MO,0.24,0.17,0.10
Stone,MO,0.20,0.14,0.09
Sullivan,MO,0.21,0.15,0.09
Taney,MO,0.20,0.14,0.09
Texas,MO,0.23,0.16,0.10
Vernon,MO,0.22,0.16,0.10
Warren,MO,0.21,0.15,0.09
Washington,MO,0.23,0.16,0.10
Wayne,MO,0.23,0.17,0.10
Webster,MO,0.19,0.14,0.09
Worth,MO,0.21,0.15,0.09
Wright,MO,0.23,0.16,0.10
St. Louis city,MO,0.18,0.12,0.07
Beaverhead,MT,0.27,0.23,0.15
Big Horn,MT,0.31,0.26,0.18
Blaine,MT,0.32,0.27,0.18
Broadwater,MT,0.27,0.23,0.15
Carbon,MT,0.26,0.22,0.15
Carter,MT,0.31,0.26,0.18
Cascade,MT,0.32,0.27,0.18
Chouteau,MT,0.32,0.27,0.18
Custer,MT,0.31,0.26,0.18
Daniels,MT,0.31,0.26,0.18
Dawson,MT,0.31,0.26,0.18
Deer Lodge,MT,0.27,0.23,0.15
Fallon,MT,0.31,0.26,0.18
Fergus,MT,0.32,0.27,0.18
Flathead,MT,0.29,0.25,0.17
Gallatin,MT,0.26,0.22,0.15
Garfield,MT,0.31,0.26,0.18
Glacier,MT,0.29,0.25,0.17
Golden Valley,MT,0.31,0.26,0.18
Granite,MT,0.27,0.23,0.15
Hill,MT,0.32,0.27,0.18
Jefferson,MT,0.27,0.23,0.15
Judith Basin,MT,0.32,0.27,0.18
Lake,MT,0.29,0.24,0.16
Lewis and Clark,MT,0.27,0.23,0.15
Liberty,MT,0.32,0.27,0.18
Lincoln,MT,0.29,0.25,0.17
McCone,MT,0.31,0.26,0.18
Madison,MT,0.27,0.23,0.15
Meagher,MT,0.32,0.27,0.18
Mineral,MT,0.29,0.24,0.16
Missoula,MT,0.29,0.24,0.16
Musselshell,MT,0.31,0.26,0.18
Park,MT,0.26,0.22,0.15
Petroleum,MT,0.32,0.27,0.18
Phillips,MT,0.31,0.26,0.18
Pondera,MT,0.32,0.27,0.18
Powder River,MT,0.31,0.26,0.18
Powell,MT,0.27,0.23,0.15
Prairie,MT,0.31,0.26,0.18
Ravalli,MT,0.29,0.24,0.16
Richland,MT,0.31,0.26,0.18
Roosevelt,MT,0.31,0.26,0.18
Rosebud,MT,0.31,0.26,0.18
Sanders,MT,0.29,0.24,0.16
Sheridan,MT,0.31,0.26,0.18
Silver Bow,MT,0.27,0.23,0.15
Stillwater,MT,0.26,0.22,0.15
Sweet Grass,MT,0.26,0.22,0.15
Teton,MT,0.32,0.27,0.18
Toole,MT,0.32,0.27,0.18
Treasure,MT,0.31,0.26,0.18
Valley,MT,0.31,0.26,0.18
Wheatland,MT,0.32,0.27,0.18
Wibaux,MT,0.31,0.26,0.18
Yellowstone,MT,0.30,0.25,0.17
Adams,NE,0.13,0.09,0.05
Antelope,NE,0.13,0.08,0.05
Arthur,NE,0.13,0.09,0.05
Banner,NE,0.13,0.08,0.05
Blaine,NE,0.14,0.09,0.06
Boone,NE,0.13,0.08,0.05
Box Butte,NE,0.13,0.08,0.05
Boyd,NE,0.13,0.08,0.05
Brown,NE,0.13,0.08,0.05
Buffalo,NE,0.13,0.09,0.05
Burt,NE,0.13,0.08,0.05
Butler,NE,0.14,0.09,0.06
Cass,NE,0.13,0.09,0.05
Cedar,NE,0.13,0.08,0.05
Chase,NE,0.13,0.09,0.05
Cherry,NE,0.13,0.08,0.05
Cheyenne,NE,0.13,0.08,0.05
Clay,NE,0.13,0.09,0.05
Colfax,NE,0.13,0.08,0.05
Cuming,NE,0.13,0.08,0.05
Custer,NE,0.14,0.09,0.06
Dakota,NE,0.13,0.08,0.05
Dawes,NE,0.13,0.08,0.05
Dawson,NE,0.13,0.09,0.05
Deuel,NE,0.13,0.08,0.05
Dixon,NE,0.13,0.08,0.05
Dodge,NE,0.13,0.09,0.05
Douglas,NE,0.13,0.08,0.05
Dundy,NE,0.13,0.09,0.05
Fillmore,NE,0.14,0.09,0.06
Franklin,NE,0.13,0.09,0.05
Frontier,NE,0.13,0.09,0.05
Furnas,NE,0.13,0.09,0.05
Gage,NE,0.14,0.09,0.06
Garden,NE,0.13,0.08,0.05
Garfield,NE,0.14,0.09,0.06
Gosper,NE,0.13,0.09,0.05
Grant,NE,0.13,0.09,0.05
Greeley,NE,0.14,0.09,0.06
Hall,NE,0.14,0.09,0.06
Hamilton,NE,0.14,0.09,0.06
Harlan,NE,0.13,0.09,0.05
Hayes,NE,0.13,0.09,0.05
Hitchcock,NE,0.13,0.09,0.05
Holt,NE,0.13,0.08,0.05
Hooker,NE,0.13,0.09,0.05
Howard,NE,0.14,0.09,0.06
Jefferson,NE,0.14,0.09,0.06
Johnson,NE,0.14,0.09,0.06
Kearney,NE,0.13,0.09,0.05
Keith,NE,0.13,0.09,0.05
Keya Paha,NE,0.13,0.08,0.05
Kimball,NE,0.13,0.08,0.05
Knox,NE,0.13,0.08,0.05
Lancaster,NE,0.12,0.08,0.05
Lincoln,NE,0.13,0.09,0.05
Logan,NE,0.13,0.09,0.05
Loup,NE,0.14,0.09,0.06
McPherson,NE,0.13,0.09,0.05
Madison,NE,0.13,0.08,0.05
Merrick,NE,0.14,0.09,0.06
Morrill,NE,0.13,0.08,0.05
Nance,NE,0.13,0.08,0.05
Nemaha,NE,0.14,0.09,0.06
Nuckolls,NE,0.13,0.09,0.05
Otoe,NE,0.14,0.09,0.06
Pawnee,NE,0.14,0.09,0.06
Perkins,NE,0.13,0.09,0.05
Phelps,NE,0.13,0.09,0.05
Pierce,NE,0.13,0.08,0.05
Platte,NE,0.13,0.08,0.05
Polk,NE,0.14,0.09,0.06
Red Willow,NE,0.13,0.09,0.05
Richardson,NE,0.14,0.09,0.06
Rock,NE,0.13,0.08,0.05
Saline,NE,0.14,0.09,0.06
Sarpy,NE,0.12,0.08,0.05
Saunders,NE,0.13,0.09,0.05
Scotts Bluff,NE,0.13,0.08,0.05
Seward,NE,0.14,0.09,0.06
Sheridan,NE,0.13,0.08,0.05
Sherman,NE,0.14,0.09,0.06
Sioux,NE,0.13,0.08,0.05
Stanton,NE,0.13,0.08,0.05
Thayer,NE,0.14,0.09,0.06
Thomas,NE,0.13,0.09,0.05
Thurston,NE,0.13,0.08,0.05
Valley,NE,0.14,0.09,0.06
Washington,NE,0.13,0.09,0.05
Wayne,NE,0.13,0.08,0.05
Webster,NE,0.13,0.09,0.05
Wheeler,NE,0.14,0.09,0.06
York,NE,0.14,0.09,0.06
Churchill,NV,0.22,0.14,0.08
Clark,NV,0.20,0.12,0.06
Douglas,NV,0.20,0.12,0.07
Elko,NV,0.22,0.14,0.08
Esmeralda,NV,0.22,0.14,0.08
Eureka,NV,0.22,0.14,0.08
Humboldt,NV,0.22,0.14,0.08
Lander,NV,0.22,0.14,0.08
Lincoln,NV,0.22,0.14,0.08
Lyon,NV,0.20,0.12,0.07
Mineral,NV,0.22,0.14,0.08
Nye,NV,0.22,0.14,0.08
Pershing,NV,0.22,0.14,0.08
Storey,NV,0.20,0.12,0.07
Washoe,NV,0.18,0.11,0.06
White Pine,NV,0.22,0.14,0.08
Carson City,NV,0.20,0.12,0.07
Belknap,NH,0.13,0.10,0.07
Carroll,NH,0.13,0.10,0.07
Cheshire,NH,0.14,0.11,0.07
Coos,NH,0.13,0.11,0.07
Grafton,NH,0.13,0.11,0.07
Hillsborough,NH,0.13,0.10,0.07
Merrimack,NH,0.13,0.10,0.07
Rockingham,NH,0.11,0.09,0.06
Strafford,NH,0.13,0.11,0.07
Sullivan,NH,0.14,0.11,0.07
Atlantic,NJ,0.12,0.05,0.04
Bergen,NJ,0.08,0.04,0.03
Burlington,NJ,0.11,0.05,0.03
Camden,NJ,0.12,0.05,0.04
Cape May,NJ,0.12,0.06,0.04
Cumberland,NJ,0.14,0.06,0.04
Essex,NJ,0.12,0.05,0.04
Gloucester,NJ,0.12,0.05,0.04
Hudson,NJ,0.11,0.05,0.03
Hunterdon,NJ,0.09,0.04,0.03
Mercer,NJ,0.11,0.05,0.03
Middlesex,NJ,0.09,0.04,0.03
Monmouth,NJ,0.09,0.04,0.03
Morris,NJ,0.08,0.04,0.03
Ocean,NJ,0.12,0.05,0.04
Passaic,NJ,0.12,0.05,0.04
Salem,NJ,0.14,0.06,0.04
Somerset,NJ,0.08,0.04,0.03
Sussex,NJ,0.10,0.05,0.03
Union,NJ,0.11,0.05,0.03
Warren,NJ,0.11,0.05,0.03
Bernalillo,NM,0.12,0.07,0.04
Catron,NM,0.13,0.07,0.04
Chaves,NM,0.15,0.09,0.05
Cibola,NM,0.23,0.14,0.07
Colfax,NM,0.15,0.08,0.04
Curry,NM,0.15,0.08,0.04
DeBaca,NM,0.15,0.08,0.04
Dona Ana,NM,0.13,0.07,0.04
Eddy,NM,0.14,0.08,0.04
Grant,NM,0.13,0.07,0.04
Guadalupe,NM,0.15,0.08,0.04
Harding,NM,0.15,0.08,0.04
Hidalgo,NM,0.13,0.07,0.04
Lea,NM,0.14,0.08,0.04
Lincoln,NM,0.15,0.09,0.05
Los Alamos,NM,0.11,0.06,0.03
Luna,NM,0.13,0.07,0.04
McKinley,NM,0.23,0.14,0.07
Mora,NM,0.11,0.06,0.03
Otero,NM,0.15,0.09,0.05
Quay,NM,0.15,0.08,0.04
Rio Arriba,NM,0.11,0.06,0.03
Roosevelt,NM,0.15,0.08,0.04
Sandoval,NM,0.12,0.07,0.04
San Juan,NM,0.17,0.10,0.05
San Miguel,NM,0.11,0.06,0.03
Santa Fe,NM,0.11,0.06,0.03
Sierra,NM,0.13,0.07,0.04
Socorro,NM,0.13,0.07,0.04
Taos,NM,0.11,0.06,0.03
Torrance,NM,0.13,0.07,0.04
Union,NM,0.15,0.08,0.04
Valencia,NM,0.12,0.07,0.04
Albany,NY,0.11,0.06,0.04
Allegany,NY,0.15,0.08,0.06
Bronx,NY,0.14,0.07,0.05
Broome,NY,0.14,0.07,0.05
Cattaraugus,NY,0.15,0.08,0.06
Cayuga,NY,0.14,0.08,0.05
Chautauqua,NY,0.14,0.08,0.05
Chemung,NY,0.14,0.07,0.05
Chenango,NY,0.14,0.08,0.05
Clinton,NY,0.16,0.09,0.06
Columbia,NY,0.13,0.07,0.05
Cortland,NY,0.14,0.08,0.05
Delaware,NY,0.14,0.08,0.05
Dutchess,NY,0.12,0.06,0.04
Erie,NY,0.12,0.06,0.04
Essex,NY,0.16,0.09,0.06
Franklin,NY,0.16,0.09,0.06
Fulton,NY,0.15,0.08,0.06
Genesee,NY,0.16,0.09,0.06
Greene,NY,0.13,0.07,0.05
Hamilton,NY,0.16,0.09,0.06
Herkimer,NY,0.14,0.08,0.05
Jefferson,NY,0.17,0.09,0.06
Kings,NY,0.12,0.06,0.04
Lewis,NY,0.17,0.09,0.06
Livingston,NY,0.14,0.08,0.05
Madison,NY,0.14,0.08,0.05
Monroe,NY,0.12,0.06,0.04
Montgomery,NY,0.15,0.08,0.06
Nassau,NY,0.09,0.05,0.03
New York,NY,0.09,0.05,0.03
Niagara,NY,0.13,0.07,0.05
Oneida,NY,0.14,0.07,0.05
Onondaga,NY,0.12,0.07,0.05
Ontario,NY,0.12,0.07,0.05
Orange,NY,0.13,0.07,0.05
Orleans,NY,0.16,0.09,0.06
Oswego,NY,0.15,0.08,0.06
Otsego,NY,0.14,0.07,0.05
Putnam,NY,0.10,0.06,0.04
Queens,NY,0.10,0.05,0.04
Rensselaer,NY,0.13,0.07,0.05
Richmond,NY,0.11,0.06,0.04
Rockland,NY,0.13,0.07,0.05
St. Lawrence,NY,0.16,0.09,0.06
Saratoga,NY,0.11,0.06,0.04
Schenectady,NY,0.13,0.07,0.05
Schoharie,NY,0.14,0.07,0.05
Schuyler,NY,0.16,0.08,0.06
Seneca,NY,0.14,0.08,0.05
Steuben,NY,0.15,0.08,0.06
Suffolk,NY,0.10,0.06,0.04
Sullivan,NY,0.13,0.07,0.05
Tioga,NY,0.14,0.08,0.05
Tompkins,NY,0.11,0.06,0.04
Ulster,NY,0.12,0.07,0.05
Warren,NY,0.13,0.07,0.05
Washington,NY,0.13,0.07,0.05
Wayne,NY,0.14,0.08,0.05
Westchester,NY,0.09,0.05,0.04
Wyoming,NY,0.14,0.08,0.05
Yates,NY,0.12,0.07,0.05
Alamance,NC,0.20,0.13,0.10
Alexander,NC,0.22,0.15,0.12
Alleghany,NC,0.21,0.14,0.11
Anson,NC,0.22,0.15,0.12
Ashe,NC,0.20,0.14,0.11
Avery,NC,0.20,0.14,0.11
Beaufort,NC,0.18,0.13,0.10
Bertie,NC,0.19,0.13,0.10
Bladen,NC,0.23,0.15,0.12
Brunswick,NC,0.16,0.11,0.09
Buncombe,NC,0.18,0.12,0.10
Burke,NC,0.21,0.14,0.11
Cabarrus,NC,0.18,0.13,0.10
Caldwell,NC,0.22,0.15,0.12
Camden,NC,0.20,0.13,0.10
Carteret,NC,0.18,0.13,0.10
Caswell,NC,0.22,0.15,0.12
Catawba,NC,0.19,0.13,0.10
Chatham,NC,0.17,0.12,0.09
Cherokee,NC,0.20,0.14,0.11
Chowan,NC,0.20,0.13,0.10
Clay,NC,0.20,0.14,0.11
Cleveland,NC,0.20,0.14,0.11
Columbus,NC,0.23,0.15,0.12
Craven,NC,0.20,0.13,0.11
Cumberland,NC,0.23,0.15,0.11
Currituck,NC,0.20,0.13,0.10
Dare,NC,0.19,0.13,0.10
Davidson,NC,0.21,0.14,0.11
Davie,NC,0.20,0.14,0.11
Duplin,NC,0.21,0.14,0.11
Durham,NC,0.17,0.11,0.09
Edgecombe,NC,0.21,0.14,0.11
Forsyth,NC,0.19,0.13,0.10
Franklin,NC,0.20,0.13,0.10
Gaston,NC,0.21,0.14,0.11
Gates,NC,0.20,0.13,0.10
Graham,NC,0.20,0.14,0.10
Granville,NC,0.22,0.15,0.12
Greene,NC,0.22,0.14,0.11
Guilford,NC,0.18,0.12,0.09
Halifax,NC,0.22,0.15,0.11
Harnett,NC,0.22,0.15,0.11
Haywood,NC,0.20,0.14,0.10
Henderson,NC,0.18,0.12,0.09
Hertford,NC,0.22,0.15,0.11
Hoke,NC,0.23,0.15,0.12
Hyde,NC,0.19,0.13,0.10
Iredell,NC,0.18,0.13,0.10
Jackson,NC,0.20,0.14,0.11
Johnston,NC,0.20,0.13,0.10
Jones,NC,0.23,0.15,0.12
Lee,NC,0.17,0.12,0.09
Lenoir,NC,0.23,0.15,0.12
Lincoln,NC,0.20,0.14,0.11
McDowell,NC,0.21,0.14,0.11
Macon,NC,0.20,0.14,0.11
Madison,NC,0.20,0.14,0.10
Martin,NC,0.19,0.13,0.10
Mecklenburg,NC,0.17,0.11,0.08
Mitchell,NC,0.20,0.14,0.11
Montgomery,NC,0.18,0.12,0.09
Moore,NC,0.18,0.12,0.09
Nash,NC,0.21,0.14,0.11
New Hanover,NC,0.18,0.12,0.09
Northampton,NC,0.22,0.15,0.11
Onslow,NC,0.25,0.16,0.12
Orange,NC,0.14,0.10,0.07
Pamlico,NC,0.18,0.13,0.10
Pasquotank,NC,0.20,0.13,0.10
Pender,NC,0.18,0.12,0.09
Perquimans,NC,0.20,0.13,0.10
Person,NC,0.22,0.15,0.12
Pitt,NC,0.19,0.13,0.10
Polk,NC,0.20,0.13,0.10
Randolph,NC,0.22,0.15,0.12
Richmond,NC,0.23,0.15,0.12
Robeson,NC,0.26,0.17,0.13
Rockingham,NC,0.21,0.14,0.11
Rowan,NC,0.21,0.15,0.11
Rutherford,NC,0.20,0.13,0.10
Sampson,NC,0.21,0.14,0.11
Scotland,NC,0.23,0.15,0.12
Stanly,NC,0.19,0.14,0.10
Stokes,NC,0.21,0.14,0.11
Surry,NC,0.21,0.14,0.11
Swain,NC,0.20,0.14,0.10
Transylvania,NC,0.18,0.12,0.09
Tyrrell,NC,0.19,0.13,0.10
Union,NC,0.18,0.12,0.10
Vance,NC,0.20,0.13,0.10
Wake,NC,0.15,0.10,0.08
Warren,NC,0.21,0.14,0.11
Washington,NC,0.19,0.13,0.10
Watauga,NC,0.20,0.14,0.11
Wayne,NC,0.22,0.14,0.11
Wilkes,NC,0.21,0.14,0.11
Wilson,NC,0.22,0.14,0.11
Yadkin,NC,0.20,0.14,0.11
Yancey,NC,0.20,0.14,0.11
Adams,ND,0.20,0.14,0.10
Barnes,ND,0.19,0.14,0.10
Benson,ND,0.19,0.14,0.10
Billings,ND,0.20,0.14,0.10
Bottineau,ND,0.19,0.14,0.10
Bowman,ND,0.20,0.14,0.10
Burke,ND,0.20,0.14,0.10
Burleigh,ND,0.17,0.12,0.08
Cass,ND,0.18,0.12,0.08
Cavalier,ND,0.17,0.12,0.08
Dickey,ND,0.19,0.14,0.10
Divide,ND,0.20,0.14,0.10
Dunn,ND,0.20,0.14,0.10
Eddy,ND,0.19,0.14,0.10
Emmons,ND,0.17,0.12,0.08
Foster,ND,0.19,0.14,0.10
Golden Valley,ND,0.20,0.14,0.10
Grand Forks,ND,0.17,0.12,0.08
Grant,ND,0.20,0.14,0.10
Griggs,ND,0.17,0.12,0.08
Hettinger,ND,0.20,0.14,0.10
Kidder,ND,0.17,0.12,0.08
LaMoure,ND,0.19,0.14,0.10
Logan,ND,0.17,0.12,0.08
McHenry,ND,0.20,0.14,0.10
McIntosh,ND,0.17,0.12,0.08
McKenzie,ND,0.20,0.14,0.10
McLean,ND,0.20,0.14,0.10
Mercer,ND,0.20,0.14,0.10
Morton,ND,0.17,0.12,0.08
Mountrail,ND,0.20,0.14,0.10
Nelson,ND,0.19,0.14,0.10
Oliver,ND,0.20,0.14,0.10
Pembina,ND,0.17,0.12,0.08
Pierce,ND,0.19,0.14,0.10
Ramsey,ND,0.19,0.14,0.10
Ransom,ND,0.19,0.14,0.10
Renville,ND,0.20,0.14,0.10
Richland,ND,0.19,0.14,0.10
Rolette,ND,0.19,0.14,0.10
Sargent,ND,0.19,0.14,0.10
Sheridan,ND,0.19,0.14,0.10
Sioux,ND,0.20,0.14,0.10
Slope,ND,0.20,0.14,0.10
Stark,ND,0.20,0.14,0.10
Steele,ND,0.17,0.12,0.08
Stutsman,ND,0.19,0.14,0.10
Towner,ND,0.17,0.12,0.08
Traill,ND,0.17,0.12,0.08
Walsh,ND,0.17,0.12,0.08
Ward,ND,0.20,0.14,0.10
Wells,ND,0.19,0.14,0.10
Williams,ND,0.20,0.14,0.10
Adams,OH,0.24,0.17,0.10
Allen,OH,0.22,0.15,0.09
Ashland,OH,0.21,0.15,0.09
Ashtabula,OH,0.23,0.17,0.10
Athens,OH,0.21,0.15,0.09
Auglaize,OH,0.18,0.13,0.08
Belmont,OH,0.20,0.14,0.08
Brown,OH,0.21,0.16,0.09
Butler,OH,0.19,0.13,0.08
Carroll,OH,0.19,0.14,0.08
Champaign,OH,0.21,0.15,0.09
Clark,OH,0.22,0.15,0.09
Clermont,OH,0.18,0.14,0.08
Clinton,OH,0.24,0.17,0.10
Columbiana,OH,0.20,0.14,0.09
Coshocton,OH,0.24,0.18,0.11
Crawford,OH,0.21,0.15,0.09
Cuyahoga,OH,0.18,0.12,0.07
Darke,OH,0.20,0.14,0.09
Defiance,OH,0.20,0.14,0.08
Delaware,OH,0.14,0.10,0.06
Erie,OH,0.18,0.13,0.08
Fairfield,OH,0.18,0.13,0.08
