county,state,low,med,high
Baker,FL,0.21,0.16,0.10
Bay,FL,0.21,0.16,0.10
Bradford,FL,0.25,0.18,0.12
Brevard,FL,0.17,0.13,0.08
Broward,FL,0.17,0.12,0.08
Calhoun,FL,0.23,0.17,0.12
Charlotte,FL,0.17,0.12,0.08
Citrus,FL,0.18,0.14,0.09
Clay,FL,0.19,0.14,0.09
Collier,FL,0.15,0.11,0.07
Columbia,FL,0.25,0.18,0.12
DeSoto,FL,0.20,0.14,0.10
Dixie,FL,0.25,0.18,0.12
Duval,FL,0.20,0.14,0.09
Escambia,FL,0.22,0.15,0.10
Flagler,FL,0.17,0.12,0.08
Franklin,FL,0.23,0.17,0.12
Gadsden,FL,0.23,0.17,0.12
Gilchrist,FL,0.25,0.18,0.12
Glades,FL,0.21,0.15,0.10
Gulf,FL,0.23,0.17,0.12
Hamilton,FL,0.24,0.17,0.12
Hardee,FL,0.20,0.14,0.10
Hendry,FL,0.21,0.15,0.10
Hernando,FL,0.20,0.14,0.10
Highlands,FL,0.21,0.14,0.10
Hillsborough,FL,0.18,0.13,0.08
Holmes,FL,0.21,0.16,0.10
Indian River,FL,0.17,0.13,0.08
Jackson,FL,0.23,0.17,0.12
Jefferson,FL,0.23,0.17,0.12
Lafayette,FL,0.24,0.17,0.12
Lake,FL,0.18,0.13,0.09
Lee,FL,0.17,0.12,0.08
Leon,FL,0.18,0.12,0.08
Levy,FL,0.25,0.18,0.12
Liberty,FL,0.23,0.17,0.12
Madison,FL,0.24,0.17,0.12
Manatee,FL,0.17,0.12,0.08
Marion,FL,0.20,0.14,0.10
Martin,FL,0.15,0.11,0.07
Miami-Dade,FL,0.16,0.11,0.07
Monroe,FL,0.19,0.14,0.09
Nassau,FL,0.21,0.16,0.10
Okaloosa,FL,0.21,0.15,0.10
Okeechobee,FL,0.21,0.15,0.10
Orange,FL,0.18,0.12,0.08
Osceola,FL,0.18,0.12,0.08
Palm Beach,FL,0.16,0.11,0.07
Pasco,FL,0.19,0.14,0.09
Pinellas,FL,0.17,0.12,0.08
Polk,FL,0.20,0.14,0.09
Putnam,FL,0.22,0.16,0.11
St. Johns,FL,0.16,0.12,0.08
St. Lucie,FL,0.19,0.14,0.09
Santa Rosa,FL,0.21,0.15,0.10
Sarasota,FL,0.15,0.11,0.07
Seminole,FL,0.16,0.11,0.07
Sumter,FL,0.15,0.11,0.08
Suwannee,FL,0.24,0.17,0.12
Taylor,FL,0.24,0.17,0.12
Union,FL,0.25,0.18,0.12
Volusia,FL,0.19,0.13,0.09
Wakulla,FL,0.23,0.17,0.12
Walton,FL,0.21,0.16,0.10
Washington,FL,0.21,0.16,0.10
Appling,GA,0.27,0.19,0.12
Atkinson,GA,0.27,0.19,0.12
Bacon,GA,0.27,0.19,0.12
Baker,GA,0.26,0.18,0.11
Baldwin,GA,0.22,0.15,0.09
Banks,GA,0.24,0.17,0.11
Barrow,GA,0.22,0.16,0.10
Bartow,GA,0.24,0.17,0.11
Ben Hill,GA,0.26,0.17,0.11
Berrien,GA,0.26,0.17,0.11
Bibb,GA,0.23,0.15,0.09
Bleckley,GA,0.25,0.17,0.11
Brantley,GA,0.27,0.19,0.12
Brooks,GA,0.26,0.17,0.11
Bryan,GA,0.25,0.16,0.10
Bulloch,GA,0.23,0.16,0.10
Burke,GA,0.25,0.16,0.10
Butts,GA,0.24,0.17,0.11
Calhoun,GA,0.26,0.18,0.11
Camden,GA,0.22,0.15,0.10
Candler,GA,0.25,0.17,0.11
Carroll,GA,0.25,0.18,0.11
Catoosa,GA,0.24,0.17,0.11
Charlton,GA,0.27,0.19,0.12
Chatham,GA,0.22,0.15,0.09
Chattahoochee,GA,0.23,0.15,0.09
Chattooga,GA,0.24,0.17,0.11
Cherokee,GA,0.19,0.14,0.09
Clarke,GA,0.21,0.13,0.08
Clay,GA,0.23,0.16,0.10
Clayton,GA,0.24,0.15,0.10
Clinch,GA,0.27,0.19,0.12
Cobb,GA,0.17,0.12,0.07
Coffee,GA,0.27,0.19,0.12
Colquitt,GA,0.24,0.16,0.10
Columbia,GA,0.18,0.13,0.08
Cook,GA,0.26,0.17,0.11
Coweta,GA,0.20,0.14,0.09
Crawford,GA,0.22,0.15,0.09
Crisp,GA,0.23,0.16,0.10
Dade,GA,0.24,0.17,0.11
Dawson,GA,0.21,0.15,0.09
Decatur,GA,0.26,0.18,0.11
DeKalb,GA,0.19,0.12,0.07
Dodge,GA,0.25,0.17,0.11
Dooly,GA,0.23,0.16,0.10
Dougherty,GA,0.24,0.16,0.10
Douglas,GA,0.21,0.14,0.09
Early,GA,0.26,0.18,0.11
Echols,GA,0.27,0.19,0.12
Effingham,GA,0.23,0.16,0.10
Elbert,GA,0.22,0.15,0.10
Emanuel,GA,0.25,0.17,0.11
Evans,GA,0.27,0.19,0.12
Fannin,GA,0.24,0.17,0.11
Fayette,GA,0.16,0.11,0.07
Floyd,GA,0.24,0.16,0.10
Forsyth,GA,0.14,0.10,0.07
Franklin,GA,0.24,0.17,0.11
Fulton,GA,0.17,0.11,0.07
Gilmer,GA,0.24,0.17,0.11
Glascock,GA,0.25,0.16,0.10
Glynn,GA,0.22,0.15,0.10
Gordon,GA,0.24,0.17,0.11
Grady,GA,0.26,0.18,0.11
Greene,GA,0.22,0.15,0.10
Gwinnett,GA,0.18,0.12,0.07
Habersham,GA,0.24,0.17,0.11
Hall,GA,0.21,0.15,0.09
Hancock,GA,0.25,0.16,0.10
Haralson,GA,0.24,0.16,0.10
Harris,GA,0.23,0.16,0.10
Hart,GA,0.24,0.17,0.11
Heard,GA,0.25,0.17,0.11
Henry,GA,0.20,0.14,0.08
Houston,GA,0.21,0.14,0.09
Irwin,GA,0.26,0.17,0.11
Jackson,GA,0.22,0.16,0.10
Jasper,GA,0.22,0.16,0.10
Jeff Davis,GA,0.27,0.19,0.12
Jefferson,GA,0.25,0.16,0.10
Jenkins,GA,0.25,0.16,0.10
Johnson,GA,0.25,0.17,0.11
Jones,GA,0.22,0.15,0.09
Lamar,GA,0.24,0.17,0.11
Lanier,GA,0.27,0.19,0.12
Laurens,GA,0.25,0.17,0.11
Lee,GA,0.24,0.16,0.10
Liberty,GA,0.25,0.16,0.10
Lincoln,GA,0.25,0.16,0.10
Long,GA,0.25,0.16,0.10
Lowndes,GA,0.24,0.16,0.10
Lumpkin,GA,0.21,0.15,0.09
McDuffie,GA,0.25,0.16,0.10
McIntosh,GA,0.22,0.15,0.10
Macon,GA,0.23,0.16,0.10
Madison,GA,0.22,0.15,0.10
Marion,GA,0.23,0.16,0.10
Meriwether,GA,0.25,0.17,0.11
Miller,GA,0.26,0.18,0.11
Mitchell,GA,0.26,0.18,0.11
Monroe,GA,0.22,0.15,0.09
Montgomery,GA,0.27,0.19,0.12
Morgan,GA,0.22,0.16,0.10
Murray,GA,0.24,0.17,0.11
Muscogee,GA,0.23,0.15,0.09
Newton,GA,0.23,0.15,0.10
Oconee,GA,0.22,0.15,0.10
Oglethorpe,GA,0.22,0.15,0.10
Paulding,GA,0.23,0.17,0.10
Peach,GA,0.22,0.15,0.09
Pickens,GA,0.24,0.17,0.11
Pierce,GA,0.27,0.19,0.12
Pike,GA,0.24,0.17,0.11
Polk,GA,0.24,0.16,0.10
Pulaski,GA,0.21,0.14,0.09
Putnam,GA,0.22,0.15,0.09
Quitman,GA,0.23,0.16,0.10
Rabun,GA,0.21,0.15,0.09
Randolph,GA,0.23,0.16,0.10
Richmond,GA,0.25,0.16,0.10
Rockdale,GA,0.23,0.15,0.10
Schley,GA,0.23,0.16,0.10
Screven,GA,0.23,0.16,0.10
Seminole,GA,0.26,0.18,0.11
Spalding,GA,0.24,0.17,0.11
Stephens,GA,0.24,0.17,0.11
Stewart,GA,0.23,0.16,0.10
Sumter,GA,0.23,0.16,0.10
Talbot,GA,0.23,0.16,0.10
Taliaferro,GA,0.25,0.16,0.10
Tattnall,GA,0.27,0.19,0.12
Taylor,GA,0.23,0.16,0.10
Telfair,GA,0.27,0.19,0.12
Terrell,GA,0.26,0.18,0.11
Thomas,GA,0.24,0.16,0.10
Tift,GA,0.26,0.17,0.11
Toombs,GA,0.27,0.19,0.12
Towns,GA,0.21,0.15,0.09
Treutlen,GA,0.25,0.17,0.11
Troup,GA,0.25,0.17,0.11
Turner,GA,0.26,0.17,0.11
Twiggs,GA,0.22,0.15,0.09
Union,GA,0.21,0.15,0.09
Upson,GA,0.24,0.17,0.11
Walker,GA,0.24,0.17,0.11
Walton,GA,0.22,0.16,0.10
Ware,GA,0.27,0.19,0.12
Warren,GA,0.25,0.16,0.10
Washington,GA,0.25,0.16,0.10
Wayne,GA,0.27,0.19,0.12
Webster,GA,0.23,0.16,0.10
Wheeler,GA,0.27,0.19,0.12
White,GA,0.21,0.15,0.09
Whitfield,GA,0.22,0.15,0.10
Wilcox,GA,0.25,0.17,0.11
Wilkes,GA,0.25,0.16,0.10
Wilkinson,GA,0.22,0.15,0.09
Worth,GA,0.24,0.16,0.10
Hawaii,HI,0.10,0.06,0.03
Honolulu,HI,0.08,0.05,0.03
Kalawao,HI,0.10,0.06,0.03
Kauai,HI,0.10,0.06,0.03
Maui,HI,0.10,0.06,0.03
Ada,ID,0.23,0.18,0.11
Adams,ID,0.25,0.19,0.12
Bannock,ID,0.27,0.20,0.13
Bear Lake,ID,0.27,0.20,0.13
Benewah,ID,0.25,0.19,0.12
Bingham,ID,0.27,0.20,0.13
Blaine,ID,0.28,0.20,0.13
Boise,ID,0.25,0.19,0.12
Bonner,ID,0.25,0.19,0.12
Bonneville,ID,0.25,0.18,0.12
Boundary,ID,0.25,0.19,0.12
Butte,ID,0.25,0.19,0.12
Camas,ID,0.28,0.20,0.13
Canyon,ID,0.25,0.19,0.12
Caribou,ID,0.27,0.20,0.13
Cassia,ID,0.27,0.20,0.13
Clark,ID,0.25,0.19,0.12
Clearwater,ID,0.25,0.19,0.12
Custer,ID,0.25,0.19,0.12
Elmore,ID,0.28,0.20,0.13
Franklin,ID,0.27,0.20,0.13
Fremont,ID,0.27,0.20,0.13
Gem,ID,0.22,0.17,0.11
Gooding,ID,0.28,0.20,0.13
