st_cty,vac_rate
IL Bond County,47.6
IL Boone County,55.6
IL Brown County,32.3
IL Bureau County,55
IL Calhoun County,46.7
IL Carroll County,54.6
IL Cass County,51
IL Champaign County,60.4
IL Christian County,41.6
IL Clark County,43
IL Clay County,33.1
IL Clinton County,48.1
IL Coles County,40.5
IL Cook County,65.6
IL Crawford County,42.3
IL Cumberland County,34.8
IL De Witt County,46
IL DeKalb County,53.6
IL Douglas County,42.3
IL DuPage County,71.1
IL Edgar County,42.4
IL Edwards County,33.5
IL Effingham County,44.5
IL Fayette County,29.4
IL Ford County,51
IL Franklin County,39.1
IL Fulton County,49.9
IL Gallatin County,47
IL Greene County,37.5
IL Grundy County,54.6
IL Hamilton County,32.8
IL Hancock County,43.3
IL Hardin County,36.4
IL Henderson County,42.7
IL Henry County,53.9
IL Iroquois County,43.1
IL Jackson County,49.8
IL Jasper County,41.4
IL Jefferson County,38
IL Jersey County,49
IL Jo Daviess County,74.4
IL Johnson County,35.3
IL Kane County,61.7
IL Kankakee County,43.9
IL Kendall County,62.8
IL Knox County,52.1
IL LaSalle County,53.9
IL Lake County,67.9
IL Lawrence County,33.5
IL Lee County,50.9
IL Livingston County,45.4
IL Logan County,46
IL Macon County,47.1
IL Macoupin County,49.1
IL Madison County,56.1
IL Marion County,38.5
IL Marshall County,52.3
IL Mason County,49.5
IL Massac County,36.2
IL McDonough County,47.3
IL McHenry County,61.1
IL McLean County,60.1
IL Menard County,50.7
IL Mercer County,55.2
IL Monroe County,55.3
IL Montgomery County,44.6
IL Morgan County,48.2
IL Moultrie County,36.6
IL Ogle County,52.6
IL Peoria County,53.9
IL Perry County,38.8
IL Piatt County,50.7
IL Pike County,35.4
IL Pope County,29
IL Pulaski County,35.9
IL Putnam County,54.5
IL Randolph County,41.5
IL Richland County,39.9
IL Rock Island County,57.6
IL Saline County,42.1
IL Sangamon County,59.3
IL Schuyler County,52.6
IL Scott County,35.8
IL Shelby County,34.6
IL St. Clair County,56.4
IL Stark County,48.2
IL Stephenson County,54.2
IL Tazewell County,53.3
IL Union County,49.1
IL Unknown County,0
IL Vermilion County,34.6
IL Wabash County,41.6
IL Warren County,44.9
IL Washington County,49.3
IL Wayne County,36.3
IL White County,42.8
IL Whiteside County,55.7
IL Will County,61.5
IL Williamson County,49.4
IL Winnebago County,53.1
IL Woodford County,49.6
IN Adams County,29.3
IN Allen County,45.7
IN Bartholomew County,50.9
IN Benton County,35.5
IN Blackford County,38.9
IN Boone County,61.7
IN Brown County,44.5
IN Carroll County,29.2
IN Cass County,37.3
IN Clark County,52.2
IN Clay County,46.9
IN Clinton County,40.6
IN Crawford County,31.9
IN Daviess County,27.2
IN DeKalb County,37.1
IN Dearborn County,44.4
IN Decatur County,41.4
IN Delaware County,42.2
IN Dubois County,48.3
IN Elkhart County,36.7
IN Fayette County,32.7
IN Floyd County,50.1
IN Fountain County,39.7
IN Franklin County,26.1
IN Fulton County,34.6
IN Gibson County,39.6
IN Grant County,36.6
IN Greene County,34.3
IN Hamilton County,62.5
IN Hancock County,58.5
IN Harrison County,43.9
IN Hendricks County,61.9
IN Henry County,44.6
IN Howard County,40.7
IN Huntington County,44.4
IN Jackson County,44.3
IN Jasper County,40.1
IN Jay County,32.7
IN Jefferson County,48.2
IN Jennings County,34
IN Johnson County,50.9
IN Knox County,42.4
IN Kosciusko County,35.3
IN LaGrange County,19.8
IN LaPorte County,49.3
IN Lake County,48.7
IN Lawrence County,42.2
IN Madison County,44.5
IN Marion County,47.8
IN Marshall County,38.5
IN Martin County,40.7
IN Miami County,34.5
IN Monroe County,53.9
IN Montgomery County,39.4
IN Morgan County,46.3
IN Newton County,26.8
IN Noble County,33.9
IN Ohio County,63.4
IN Orange County,47.9
IN Owen County,36.9
IN Parke County,33.9
IN Perry County,48.8
IN Pike County,49.6
IN Porter County,49.8
IN Posey County,40.7
IN Pulaski County,38.4
IN Putnam County,36.6
IN Randolph County,37.4
IN Ripley County,39.8
IN Rush County,40.6
IN Scott County,37.8
IN Shelby County,49
IN Spencer County,38.2
IN St. Joseph County,51.4
IN Starke County,31.8
IN Steuben County,41.8
IN Sullivan County,40.5
IN Switzerland County,26.3
IN Tippecanoe County,50.6
IN Tipton County,39.3
IN Union County,38.4
IN Unknown County,0
IN Vanderburgh County,49.6
IN Vermillion County,39.3
IN Vigo County,43
IN Wabash County,36.8
IN Warren County,39
IN Warrick County,54.5
IN Washington County,34.4
IN Wayne County,40.8
IN Wells County,36.9
IN White County,47.8
IN Whitley County,41.6
KS Allen County,38.1
KS Anderson County,36.1
KS Atchison County,37.4
KS Barber County,40.1
KS Barton County,36.1
KS Bourbon County,31.3
KS Brown County,50
KS Butler County,39.8
KS Chase County,37.9
KS Chautauqua County,35.6
KS Cherokee County,38.5
KS Cheyenne County,39.4
KS Clark County,40.5
KS Clay County,47.4
KS Cloud County,39.9
KS Coffey County,43
KS Comanche County,40.1
KS Cowley County,40.6
KS Crawford County,40.8
KS Decatur County,34.2
KS Dickinson County,44.4
KS Doniphan County,36.5
KS Douglas County,64.3
KS Edwards County,39.9
KS Elk County,27.9
KS Ellis County,42.7
KS Ellsworth County,47.5
KS Finney County,39.2
KS Ford County,35.2
KS Franklin County,42.8
KS Geary County,58.9
KS Gove County,44.5
KS Graham County,63.9
KS Grant County,37.5
KS Gray County,33.9
KS Greeley County,42.5
KS Greenwood County,42.2
KS Hamilton County,30.9
KS Harper County,39.4
KS Harvey County,39.3
KS Haskell County,30.3
KS Hodgeman County,40.1
KS Jackson County,54.1
KS Jefferson County,47.1
KS Jewell County,39.8
KS Johnson County,68.1
KS Kearny County,41.9
KS Kingman County,39.3
KS Kiowa County,41.3
KS Labette County,40.9
KS Lane County,37.1
KS Leavenworth County,52.2
KS Lincoln County,38.6
KS Linn County,30.5
KS Logan County,40.6
KS Lyon County,47.6
KS Marion County,42.5
KS Marshall County,54.3
KS McPherson County,46.3
KS Meade County,38.3
KS Miami County,41.2
KS Mitchell County,46.2
KS Montgomery County,37.9
KS Morris County,48.7
KS Morton County,32.7
KS Nemaha County,44.5
KS Neosho County,22.3
KS Ness County,44.8
KS Norton County,41.8
KS Osage County,42.6
KS Osborne County,36.2
KS Ottawa County,34.1
KS Pawnee County,45.7
KS Phillips County,37.9
KS Pottawatomie County,33.8
KS Pratt County,42.2
KS Rawlins County,36.1
KS Reno County,42.6
KS Republic County,44
KS Rice County,37.3
KS Riley County,33.4
KS Rooks County,40.2
KS Rush County,43.3
KS Russell County,35.9
KS Saline County,41.7
KS Scott County,37.2
KS Sedgwick County,46.1
KS Seward County,44.1
KS Shawnee County,52.2
KS Sheridan County,31.1
KS Sherman County,35.5
KS Smith County,39.7
KS Stafford County,37.8
KS Stanton County,40.3
KS Stevens County,27.2
KS Sumner County,35.4
KS Thomas County,35.7
KS Trego County,32.9
KS Unknown County,0
KS Wabaunsee County,39.4
KS Wallace County,30.4
KS Washington County,44
KS Wichita County,41.1
KS Wilson County,35.2
KS Woodson County,35.9
KS Wyandotte County,44.2
KY Adair County,31.4
KY Allen County,34.2
KY Anderson County,53.2
KY Ballard County,27.3
KY Barren County,38
KY Bath County,43.7
KY Bell County,37.7
KY Boone County,59.7
KY Bourbon County,49.8
KY Boyd County,41.9
KY Boyle County,52.9
KY Bracken County,38.4
KY Breathitt County,38.8
KY Breckinridge County,35.5
KY Bullitt County,41.1
KY Butler County,37.5
KY Caldwell County,41.8
