FIPS,state,county,Th1_Lower Coverage and Higher Refusal Rates,Th2_Lack of Access to Infomation,Th2_Socio-economically disadvantaged,Th3_Low Healthcare System Capacity,Th3_Weak Healthcare System,Th4_Barriers due to cost,Th4_Barriers due to Transportation,Th5_Lack of Designated Medical Home,Th5_Lack of Routine Care Visits
36119,New York,Westchester County,0.183381089,0.29703916,0.29417383,0.257879656,0.028016555,0.181152499,0.76440624,0.565743394,0.309455587
36121,New York,Wyoming County,0.248010188,0.503024514,0.391595033,0.734797835,0.086596625,0.096147724,0.609678446,0.680674944,0.417064629
36123,New York,Yates County,0.223814072,0.875198981,0.207895575,0.286214581,0.050939191,0.576567972,0.973575294,0.574021012,0.359439669
37001,North Carolina,Alamance County,0.2944922,0.499840815,0.629735753,0.568290353,0.927093282,0.747851003,0.416427889,0.678127985,0.201528176
37003,North Carolina,Alexander County,0.408787011,0.662527857,0.685768863,0.870105062,0.887615409,0.654568609,0.202164916,0.636421522,0.258198026
37005,North Carolina,Alleghany County,0.310729067,0.887933779,0.801018784,0.538045209,0.950334288,0.752944922,0.578159822,0.663482967,0.254695957
37007,North Carolina,Anson County,0.466730341,0.898758357,0.945877109,0.818847501,0.99936326,0.744667303,0.904170646,0.743712194,0.180197389
37009,North Carolina,Ashe County,0.404011461,0.88475008,0.554918816,0.390003184,0.900350207,0.795288125,0.622731614,0.650748169,0.262973575
37011,North Carolina,Avery County,0.47341611,0.818529131,0.557784145,0.095510984,0.758993951,0.862782553,0.283030882,0.750397962,0.339700732
37013,North Carolina,Beaufort County,0.290671761,0.887297039,0.699140401,0.52976759,0.844635466,0.780643107,0.751034702,0.595033429,0.159821713
37015,North Carolina,Bertie County,0.7086915,0.845272206,0.923272843,0.660617638,0.956064947,0.776504298,0.94014645,0.750397962,0.148360395
37017,North Carolina,Bladen County,0.631327603,0.933779051,0.917860554,0.53199618,0.993950971,0.801973894,0.919452404,0.774275708,0.215218083
37019,North Carolina,Brunswick County,0.284941102,0.133715377,0.396052213,0.380770455,0.771410379,0.692454632,0.183381089,0.515759312,0.167144222
37021,North Carolina,Buncombe County,0.398599172,0.437121936,0.423750398,0.192295447,0.70741802,0.730977396,0.298312639,0.628143903,0.231454951
37023,North Carolina,Burke County,0.402737982,0.901942057,0.76345113,0.389048074,0.769818529,0.784781917,0.423750398,0.64533588,0.231454951
37025,North Carolina,Cabarrus County,0.480738618,0.095829354,0.270614454,0.440624005,0.951289398,0.600127348,0.172238141,0.702005731,0.262973575
37027,North Carolina,Caldwell County,0.348296721,0.629735753,0.737663165,0.503024514,0.875835721,0.789875836,0.402419612,0.618274435,0.23495702
37029,North Carolina,Camden County,0.419929959,0.008277619,0.268704234,0.971983445,0.954791468,0.597262018,0.1197071,0.628143903,0.239095829
37031,North Carolina,Carteret County,0.289079911,0.064947469,0.191340337,0.097102833,0.905444126,0.723018147,0.320280166,0.577841452,0.197070996
37033,North Carolina,Caswell County,0.441260745,0.893346068,0.858643744,0.665711557,0.986946832,0.592804839,0.912448265,0.720789557,0.197070996
37035,North Carolina,Catawba County,0.310729067,0.445717924,0.571792423,0.038204394,0.777141038,0.76440624,0.336835403,0.660617638,0.23495702
37037,North Carolina,Chatham County,0.309455587,0.583253741,0.126392869,0.255651067,0.784463547,0.76631646,0.320280166,0.607131487,0.183381089
37039,North Carolina,Cherokee County,0.549506527,0.70455269,0.655842089,0.329194524,0.76663483,0.837949698,0.283030882,0.581980261,0.210124164
37041,North Carolina,Chowan County,0.47118752,0.856733524,0.623368354,0.099649793,0.729385546,0.670805476,0.951289398,0.663482967,0.168099331
