st_cty,low,med,high,tot_hesi
CA Solano County,0.1,0.06,0.03,0.19
CA Sonoma County,0.09,0.06,0.03,0.18
CA Stanislaus County,0.12,0.08,0.04,0.24
CA Sutter County,0.13,0.08,0.04,0.25
CA Tehama County,0.13,0.08,0.04,0.25
CA Trinity County,0.13,0.08,0.04,0.25
CA Tulare County,0.13,0.08,0.04,0.25
CA Tuolumne County,0.11,0.08,0.04,0.23
CA Ventura County,0.09,0.06,0.03,0.18
CA Yolo County,0.1,0.06,0.03,0.19
CA Yuba County,0.13,0.08,0.04,0.25
CO Adams County,0.12,0.08,0.05,0.25
CO Alamosa County,0.13,0.08,0.05,0.26
CO Arapahoe County,0.11,0.07,0.04,0.22
CO Archuleta County,0.11,0.07,0.04,0.22
CO Baca County,0.13,0.08,0.05,0.26
CO Bent County,0.15,0.09,0.06,0.3
CO Boulder County,0.09,0.06,0.03,0.18
CO Broomfield County,0.09,0.06,0.03,0.18
CO Chaffee County,0.13,0.08,0.05,0.26
CO Cheyenne County,0.15,0.09,0.06,0.3
CO Clear Creek County,0.07,0.05,0.03,0.15
CO Conejos County,0.13,0.08,0.05,0.26
CO Costilla County,0.13,0.08,0.05,0.26
CO Crowley County,0.15,0.09,0.06,0.3
CO Custer County,0.13,0.08,0.05,0.26
CO Delta County,0.12,0.08,0.05,0.25
CO Denver County,0.1,0.07,0.04,0.21
CO Dolores County,0.11,0.07,0.04,0.22
CO Douglas County,0.09,0.06,0.04,0.19
CO Eagle County,0.1,0.07,0.04,0.21
CO Elbert County,0.1,0.07,0.04,0.21
CO El Paso County,0.13,0.08,0.05,0.26
CO Fremont County,0.13,0.08,0.05,0.26
CO Garfield County,0.13,0.08,0.05,0.26
CO Gilpin County,0.07,0.05,0.03,0.15
CO Grand County,0.1,0.07,0.04,0.21
CO Gunnison County,0.11,0.07,0.04,0.22
CO Hinsdale County,0.11,0.07,0.04,0.22
CO Huerfano County,0.13,0.08,0.05,0.26
CO Jackson County,0.1,0.07,0.04,0.21
CO Jefferson County,0.1,0.06,0.04,0.2
CO Kiowa County,0.15,0.09,0.06,0.3
CO Kit Carson County,0.15,0.09,0.06,0.3
CO Lake County,0.13,0.08,0.05,0.26
CO La Plata County,0.11,0.07,0.04,0.22
CO Larimer County,0.11,0.07,0.04,0.22
CO Las Animas County,0.13,0.08,0.05,0.26
CO Lincoln County,0.15,0.09,0.06,0.3
CO Logan County,0.15,0.09,0.06,0.3
CO Mesa County,0.14,0.09,0.05,0.28
CO Mineral County,0.13,0.08,0.05,0.26
CO Moffat County,0.13,0.08,0.05,0.26
CO Montezuma County,0.11,0.07,0.04,0.22
CO Montrose County,0.12,0.08,0.05,0.25
CO Morgan County,0.15,0.09,0.06,0.3
CO Otero County,0.13,0.08,0.05,0.26
CO Ouray County,0.12,0.08,0.05,0.25
CO Park County,0.13,0.08,0.05,0.26
CO Phillips County,0.15,0.09,0.06,0.3
CO Pitkin County,0.1,0.07,0.04,0.21
CO Prowers County,0.13,0.08,0.05,0.26
CO Pueblo County,0.13,0.08,0.05,0.26
CO Rio Blanco County,0.13,0.08,0.05,0.26
CO Rio Grande County,0.13,0.08,0.05,0.26
CO Routt County,0.13,0.08,0.05,0.26
CO Saguache County,0.13,0.08,0.05,0.26
CO San Juan County,0.11,0.07,0.04,0.22
CO San Miguel County,0.12,0.08,0.05,0.25
CO Sedgwick County,0.15,0.09,0.06,0.3
CO Summit County,0.1,0.07,0.04,0.21
CO Teller County,0.14,0.08,0.05,0.27
CO Washington County,0.15,0.09,0.06,0.3
