st_cty,low,med,high,tot_hesi
LA Red River Parish,0.27,0.19,0.12,0.58
LA Richland Parish,0.29,0.2,0.13,0.62
LA Sabine Parish,0.27,0.19,0.12,0.58
LA St. Bernard Parish,0.26,0.18,0.11,0.55
LA St. Charles Parish,0.24,0.17,0.1,0.51
LA St. Helena Parish,0.27,0.2,0.12,0.59
LA St. James Parish,0.24,0.17,0.1,0.51
LA St. John the Baptist Parish,0.24,0.17,0.1,0.51
LA St. Landry Parish,0.27,0.19,0.12,0.58
LA St. Martin Parish,0.27,0.19,0.11,0.57
LA St. Mary Parish,0.27,0.19,0.11,0.57
LA St. Tammany Parish,0.22,0.16,0.1,0.48
LA Tangipahoa Parish,0.27,0.19,0.12,0.58
LA Tensas Parish,0.29,0.2,0.13,0.62
LA Terrebonne Parish,0.26,0.19,0.12,0.57
LA Union Parish,0.29,0.2,0.13,0.62
LA Vermilion Parish,0.26,0.19,0.11,0.56
LA Vernon Parish,0.28,0.2,0.12,0.6
LA Washington Parish,0.27,0.19,0.12,0.58
LA Webster Parish,0.25,0.17,0.11,0.53
LA West Baton Rouge Parish,0.26,0.19,0.12,0.57
LA West Carroll Parish,0.29,0.2,0.13,0.62
LA West Feliciana Parish,0.26,0.19,0.12,0.57
LA Winn Parish,0.3,0.22,0.14,0.66
ME Androscoggin County,0.13,0.09,0.07,0.29
ME Aroostook County,0.14,0.1,0.08,0.32
ME Cumberland County,0.11,0.08,0.06,0.25
ME Franklin County,0.14,0.1,0.09,0.33
ME Hancock County,0.13,0.09,0.08,0.3
ME Kennebec County,0.13,0.1,0.08,0.31
ME Knox County,0.13,0.09,0.08,0.3
ME Lincoln County,0.13,0.09,0.08,0.3
ME Oxford County,0.14,0.1,0.09,0.33
ME Penobscot County,0.14,0.1,0.08,0.32
ME Piscataquis County,0.14,0.1,0.09,0.33
ME Sagadahoc County,0.11,0.08,0.07,0.26
ME Somerset County,0.14,0.1,0.09,0.33
ME Waldo County,0.13,0.09,0.08,0.3
ME Washington County,0.14,0.1,0.08,0.32
ME York County,0.11,0.08,0.07,0.26
MD Allegany County,0.14,0.1,0.05,0.29
MD Anne Arundel County,0.1,0.07,0.04,0.21
MD Baltimore County,0.1,0.07,0.04,0.21
MD Calvert County,0.11,0.08,0.04,0.23
MD Caroline County,0.11,0.08,0.04,0.23
MD Carroll County,0.1,0.07,0.04,0.21
MD Cecil County,0.12,0.08,0.04,0.24
MD Charles County,0.1,0.07,0.04,0.21
MD Dorchester County,0.11,0.08,0.04,0.23
MD Frederick County,0.09,0.07,0.04,0.2
MD Garrett County,0.14,0.1,0.05,0.29
MD Harford County,0.1,0.07,0.04,0.21
MD Howard County,0.07,0.05,0.02,0.14
MD Kent County,0.11,0.08,0.04,0.23
MD Montgomery County,0.08,0.05,0.03,0.16
,0.1,0.07,0.04,0.21
,0.11,0.08,0.04,0.23
,0.11,0.08,0.04,0.23
MD Somerset County,0.13,0.09,0.05,0.27
MD Talbot County,0.11,0.08,0.04,0.23
MD Washington County,0.13,0.09,0.05,0.27
MD Wicomico County,0.13,0.09,0.05,0.27
MD Worcester County,0.13,0.09,0.05,0.27
MD Baltimore city,0.13,0.08,0.04,0.25
MA Barnstable County,0.06,0.04,0.03,0.13
MA Berkshire County,0.08,0.05,0.04,0.17
MA Bristol County,0.09,0.06,0.04,0.19
MA Dukes County,0.06,0.04,0.03,0.13
MA Essex County,0.07,0.05,0.03,0.15
MA Franklin County,0.08,0.05,0.04,0.17
MA Hampden County,0.08,0.05,0.04,0.17
MA Hampshire County,0.07,0.05,0.03,0.15
MA Middlesex County,0.06,0.04,0.03,0.13
MA Nantucket County,0.06,0.04,0.03,0.13
MA Norfolk County,0.06,0.04,0.03,0.13
MA Plymouth County,0.07,0.05,0.04,0.16
MA Suffolk County,0.07,0.04,0.03,0.14
MA Worcester County,0.07,0.05,0.04,0.16
MI Alcona County,0.17,0.1,0.06,0.33
MI Alger County,0.19,0.11,0.07,0.37
MI Allegan County,0.18,0.11,0.07,0.36
MI Alpena County,0.17,0.1,0.06,0.33
MI Antrim County,0.18,0.1,0.06,0.34
MI Arenac County,0.18,0.1,0.06,0.34
MI Baraga County,0.17,0.09,0.06,0.32
MI Barry County,0.17,0.1,0.06,0.33
MI Bay County,0.16,0.09,0.06,0.31
MI Benzie County,0.15,0.09,0.05,0.29
MI Berrien County,0.17,0.09,0.06,0.32
MI Branch County,0.19,0.11,0.07,0.37
MI Calhoun County,0.17,0.1,0.06,0.33
MI Cass County,0.17,0.1,0.06,0.33
MI Charlevoix County,0.18,0.1,0.06,0.34
MI Cheboygan County,0.17,0.1,0.06,0.33
MI Chippewa County,0.19,0.11,0.07,0.37
MI Clare County,0.2,0.11,0.07,0.38
MI Clinton County,0.15,0.08,0.05,0.28
MI Crawford County,0.17,0.1,0.06,0.33
MI Delta County,0.19,0.11,0.07,0.37
MI Dickinson County,0.17,0.09,0.06,0.32
MI Eaton County,0.15,0.08,0.05,0.28
MI Emmet County,0.18,0.1,0.06,0.34
MI Genesee County,0.2,0.11,0.07,0.38
MI Gladwin County,0.18,0.1,0.06,0.34
MI Gogebic County,0.17,0.09,0.06,0.32
MI Grand Traverse County,0.15,0.09,0.05,0.29
MI Gratiot County,0.2,0.11,0.07,0.38
MI Hillsdale County,0.19,0.11,0.07,0.37
MI Houghton County,0.17,0.09,0.06,0.32
MI Huron County,0.19,0.11,0.07,0.37
MI Ingham County,0.16,0.09,0.05,0.3
MI Ionia County,0.2,0.11,0.07,0.38
MI Iosco County,0.18,0.1,0.06,0.34
MI Iron County,0.17,0.09,0.06,0.32
MI Isabella County,0.2,0.11,0.07,0.38
MI Jackson County,0.19,0.11,0.07,0.37
MI Kalamazoo County,0.17,0.1,0.06,0.33
MI Kalkaska County,0.18,0.1,0.06,0.34
MI Kent County,0.16,0.09,0.05,0.3
MI Keweenaw County,0.17,0.09,0.06,0.32
MI Lake County,0.18,0.1,0.06,0.34
MI Lapeer County,0.17,0.1,0.06,0.33
MI Leelanau County,0.15,0.09,0.05,0.29
MI Lenawee County,0.19,0.11,0.07,0.37
MI Livingston County,0.14,0.08,0.05,0.27
MI Luce County,0.19,0.11,0.07,0.37
MI Mackinac County,0.19,0.11,0.07,0.37
MI Macomb County,0.16,0.09,0.06,0.31
MI Manistee County,0.15,0.09,0.05,0.29
MI Marquette County,0.17,0.09,0.06,0.32
MI Mason County,0.18,0.1,0.06,0.34
MI Mecosta County,0.2,0.11,0.07,0.38
MI Menominee County,0.19,0.11,0.07,0.37
MI Midland County,0.16,0.09,0.06,0.31
MI Missaukee County,0.18,0.1,0.06,0.34
MI Monroe County,0.17,0.1,0.06,0.33
MI Montcalm County,0.2,0.11,0.07,0.38
MI Montmorency County,0.17,0.1,0.06,0.33
MI Muskegon County,0.2,0.11,0.07,0.38
MI Newaygo County,0.18,0.1,0.06,0.34
MI Oakland County,0.13,0.07,0.04,0.24
MI Oceana County,0.18,0.1,0.06,0.34
MI Ogemaw County,0.18,0.1,0.06,0.34
MI Ontonagon County,0.17,0.09,0.06,0.32
MI Osceola County,0.2,0.11,0.07,0.38
MI Oscoda County,0.17,0.1,0.06,0.33
MI Otsego County,0.17,0.1,0.06,0.33
MI Ottawa County,0.15,0.08,0.05,0.28
MI Presque Isle County,0.17,0.1,0.06,0.33
MI Roscommon County,0.18,0.1,0.06,0.34
MI Saginaw County,0.17,0.09,0.06,0.32
MI St. Clair County,0.16,0.09,0.06,0.31
MI St. Joseph County,0.19,0.11,0.07,0.37
MI Sanilac County,0.19,0.11,0.07,0.37
MI Schoolcraft County,0.19,0.11,0.07,0.37
MI Shiawassee County,0.17,0.1,0.06,0.33
MI Tuscola County,0.19,0.11,0.07,0.37
MI Van Buren County,0.17,0.1,0.06,0.33
MI Washtenaw County,0.13,0.07,0.04,0.24
MI Wayne County,0.19,0.1,0.06,0.35
MI Wexford County,0.18,0.1,0.06,0.34
MN Aitkin County,0.12,0.08,0.04,0.24
MN Anoka County,0.11,0.07,0.04,0.22
MN Becker County,0.14,0.09,0.05,0.28
MN Beltrami County,0.14,0.09,0.05,0.28
MN Benton County,0.13,0.09,0.05,0.27
MN Big Stone County,0.11,0.07,0.04,0.22
MN Blue Earth County,0.12,0.07,0.04,0.23
MN Brown County,0.12,0.08,0.04,0.24
MN Carlton County,0.12,0.08,0.04,0.24
MN Carver County,0.09,0.06,0.03,0.18
MN Cass County,0.12,0.08,0.04,0.24
MN Chippewa County,0.12,0.08,0.04,0.24
MN Chisago County,0.13,0.09,0.05,0.27
MN Clay County,0.12,0.08,0.04,0.24
MN Clearwater County,0.14,0.09,0.05,0.28
MN Cook County,0.12,0.08,0.04,0.24
MN Cottonwood County,0.12,0.08,0.04,0.24
MN Crow Wing County,0.12,0.08,0.04,0.24
MN Dakota County,0.1,0.07,0.04,0.21
MN Dodge County,0.12,0.08,0.04,0.24
MN Douglas County,0.11,0.07,0.04,0.22
MN Faribault County,0.12,0.08,0.04,0.24
MN Fillmore County,0.12,0.08,0.04,0.24
MN Freeborn County,0.12,0.08,0.04,0.24
MN Goodhue County,0.12,0.08,0.04,0.24
MN Grant County,0.11,0.07,0.04,0.22
MN Hennepin County,0.1,0.06,0.03,0.19
MN Houston County,0.12,0.08,0.04,0.24
MN Hubbard County,0.14,0.09,0.05,0.28
MN Isanti County,0.13,0.09,0.05,0.27
MN Itasca County,0.12,0.08,0.04,0.24
MN Jackson County,0.12,0.08,0.04,0.24
MN Kanabec County,0.13,0.09,0.05,0.27
MN Kandiyohi County,0.12,0.08,0.04,0.24
MN Kittson County,0.12,0.08,0.04,0.24
MN Koochiching County,0.12,0.08,0.04,0.24
MN Lac qui Parle County,0.12,0.08,0.04,0.24
MN Lake County,0.12,0.08,0.04,0.24
MN Lake of the Woods County,0.14,0.09,0.05,0.28
MN Le Sueur County,0.12,0.08,0.04,0.24
MN Lincoln County,0.12,0.08,0.04,0.24
MN Lyon County,0.12,0.08,0.04,0.24
MN McLeod County,0.12,0.08,0.04,0.24
MN Mahnomen County,0.14,0.09,0.05,0.28
MN Marshall County,0.12,0.08,0.04,0.24
MN Martin County,0.12,0.08,0.04,0.24
MN Meeker County,0.12,0.08,0.04,0.24
MN Mille Lacs County,0.13,0.09,0.05,0.27
MN Morrison County,0.12,0.08,0.04,0.24
MN Mower County,0.12,0.08,0.04,0.24
MN Murray County,0.12,0.08,0.04,0.24
MN Nicollet County,0.12,0.07,0.04,0.23
MN Nobles County,0.12,0.08,0.04,0.24
MN Norman County,0.12,0.08,0.04,0.24
MN Olmsted County,0.09,0.06,0.03,0.18
MN Otter Tail County,0.11,0.07,0.04,0.22
MN Pennington County,0.12,0.08,0.04,0.24
MN Pine County,0.13,0.09,0.05,0.27
MN Pipestone County,0.12,0.08,0.04,0.24
MN Polk County,0.12,0.08,0.04,0.24
MN Pope County,0.11,0.07,0.04,0.22
MN Ramsey County,0.11,0.07,0.04,0.22
MN Red Lake County,0.12,0.08,0.04,0.24
MN Redwood County,0.12,0.08,0.04,0.24
MN Renville County,0.12,0.08,0.04,0.24
MN Rice County,0.12,0.08,0.04,0.24
MN Rock County,0.12,0.08,0.04,0.24
MN Roseau County,0.12,0.08,0.04,0.24
MN St. Louis County,0.11,0.07,0.04,0.22
MN Scott County,0.09,0.06,0.03,0.18
MN Sherburne County,0.13,0.09,0.05,0.27
MN Sibley County,0.12,0.08,0.04,0.24
MN Stearns County,0.12,0.08,0.04,0.24
MN Steele County,0.12,0.08,0.04,0.24
MN Stevens County,0.11,0.07,0.04,0.22
MN Swift County,0.11,0.07,0.04,0.22
MN Todd County,0.12,0.08,0.04,0.24
MN Traverse County,0.11,0.07,0.04,0.22
MN Wabasha County,0.12,0.08,0.04,0.24
MN Wadena County,0.12,0.08,0.04,0.24
MN Waseca County,0.12,0.07,0.04,0.23
MN Washington County,0.09,0.06,0.03,0.18
MN Watonwan County,0.12,0.08,0.04,0.24
MN Wilkin County,0.11,0.07,0.04,0.22
MN Winona County,0.12,0.08,0.04,0.24
MN Wright County,0.11,0.08,0.04,0.23
MN Yellow Medicine County,0.12,0.08,0.04,0.24
MS Adams County,0.28,0.18,0.12,0.58
MS Alcorn County,0.3,0.2,0.14,0.64
MS Amite County,0.28,0.18,0.12,0.58
MS Attala County,0.31,0.19,0.13,0.63
MS Benton County,0.3,0.2,0.14,0.64
MS Bolivar County,0.31,0.19,0.13,0.63
MS Calhoun County,0.28,0.18,0.12,0.58
MS Carroll County,0.31,0.19,0.13,0.63
MS Chickasaw County,0.28,0.18,0.12,0.58
MS Choctaw County,0.28,0.17,0.11,0.56
MS Claiborne County,0.28,0.18,0.12,0.58
MS Clarke County,0.29,0.18,0.13,0.6
MS Clay County,0.28,0.17,0.11,0.56
MS Coahoma County,0.3,0.19,0.13,0.62
MS Copiah County,0.27,0.17,0.11,0.55
MS Covington County,0.3,0.19,0.13,0.62
MS DeSoto County,0.26,0.17,0.11,0.54
MS Forrest County,0.29,0.18,0.13,0.6
MS Franklin County,0.28,0.18,0.12,0.58
MS George County,0.29,0.19,0.13,0.61
MS Greene County,0.3,0.19,0.13,0.62
MS Grenada County,0.31,0.19,0.13,0.63
MS Hancock County,0.29,0.19,0.13,0.61
MS Harrison County,0.29,0.18,0.12,0.59
MS Hinds County,0.27,0.16,0.11,0.54
MS Holmes County,0.31,0.19,0.13,0.63
MS Humphreys County,0.31,0.19,0.13,0.63
MS Issaquena County,0.31,0.19,0.13,0.63
MS Itawamba County,0.28,0.18,0.12,0.58
MS Jackson County,0.27,0.17,0.12,0.56
MS Jasper County,0.3,0.19,0.13,0.62
MS Jefferson County,0.28,0.18,0.12,0.58
MS Jefferson Davis County,0.3,0.19,0.13,0.62
MS Jones County,0.3,0.19,0.13,0.62
MS Kemper County,0.3,0.19,0.13,0.62
MS Lafayette County,0.28,0.18,0.12,0.58
MS Lamar County,0.29,0.18,0.13,0.6
MS Lauderdale County,0.29,0.18,0.13,0.6
MS Lawrence County,0.28,0.18,0.12,0.58
MS Leake County,0.3,0.19,0.13,0.62
MS Lee County,0.28,0.18,0.13,0.59
MS Leflore County,0.31,0.19,0.13,0.63
MS Lincoln County,0.28,0.18,0.12,0.58
MS Lowndes County,0.28,0.17,0.11,0.56
MS Madison County,0.26,0.16,0.11,0.53
MS Marion County,0.29,0.18,0.13,0.6
MS Marshall County,0.3,0.2,0.14,0.64
MS Monroe County,0.28,0.18,0.12,0.58
MS Montgomery County,0.31,0.19,0.13,0.63
MS Neshoba County,0.3,0.19,0.13,0.62
MS Newton County,0.29,0.18,0.13,0.6
MS Noxubee County,0.28,0.17,0.11,0.56
MS Oktibbeha County,0.28,0.17,0.11,0.56
MS Panola County,0.3,0.19,0.13,0.62
MS Pearl River County,0.29,0.19,0.13,0.61
MS Perry County,0.29,0.18,0.13,0.6
MS Pike County,0.28,0.18,0.12,0.58
MS Pontotoc County,0.28,0.18,0.13,0.59
MS Prentiss County,0.3,0.2,0.14,0.64
MS Quitman County,0.3,0.19,0.13,0.62
MS Rankin County,0.27,0.18,0.12,0.57
MS Scott County,0.3,0.19,0.13,0.62
MS Sharkey County,0.31,0.19,0.13,0.63
MS Simpson County,0.27,0.18,0.12,0.57
MS Smith County,0.3,0.19,0.13,0.62
MS Stone County,0.29,0.19,0.13,0.61
MS Sunflower County,0.31,0.19,0.13,0.63
MS Tallahatchie County,0.3,0.19,0.13,0.62
MS Tate County,0.3,0.19,0.13,0.62
MS Tippah County,0.3,0.2,0.14,0.64
MS Tishomingo County,0.3,0.2,0.14,0.64
MS Tunica County,0.3,0.19,0.13,0.62
MS Union County,0.28,0.18,0.13,0.59
MS Walthall County,0.28,0.18,0.12,0.58
MS Warren County,0.27,0.17,0.11,0.55
MS Washington County,0.31,0.19,0.13,0.63
MS Wayne County,0.3,0.19,0.13,0.62
MS Webster County,0.28,0.17,0.11,0.56
MS Wilkinson County,0.28,0.18,0.12,0.58
MS Winston County,0.28,0.17,0.11,0.56
MS Yalobusha County,0.31,0.19,0.13,0.63
MS Yazoo County,0.26,0.17,0.11,0.54
MO Adair County,0.21,0.15,0.09,0.45
MO Andrew County,0.21,0.15,0.09,0.45
MO Atchison County,0.21,0.15,0.09,0.45
MO Audrain County,0.21,0.15,0.09,0.45
MO Barry County,0.2,0.14,0.09,0.43
MO Barton County,0.22,0.16,0.1,0.48
MO Bates County,0.19,0.14,0.08,0.41
MO Benton County,0.22,0.16,0.09,0.47
MO Bollinger County,0.2,0.14,0.09,0.43
MO Boone County,0.17,0.12,0.07,0.36
MO Buchanan County,0.21,0.15,0.09,0.45
MO Butler County,0.23,0.17,0.1,0.5
MO Caldwell County,0.2,0.14,0.09,0.43
MO Callaway County,0.19,0.14,0.08,0.41
MO Camden County,0.22,0.15,0.09,0.46
MO Cape Girardeau County,0.2,0.14,0.09,0.43
MO Carroll County,0.21,0.15,0.09,0.45
MO Carter County,0.23,0.17,0.1,0.5
MO Cass County,0.19,0.14,0.08,0.41
MO Cedar County,0.22,0.16,0.1,0.48
MO Chariton County,0.21,0.15,0.09,0.45
MO Christian County,0.19,0.14,0.09,0.42
MO Clark County,0.21,0.15,0.09,0.45
MO Clay County,0.17,0.13,0.07,0.37
MO Clinton County,0.2,0.14,0.09,0.43
MO Cole County,0.19,0.14,0.08,0.41
MO Cooper County,0.21,0.15,0.09,0.45
MO Crawford County,0.19,0.14,0.08,0.41
MO Dade County,0.22,0.16,0.1,0.48
MO Dallas County,0.22,0.16,0.09,0.47
MO Daviess County,0.21,0.15,0.09,0.45
MO DeKalb County,0.21,0.15,0.09,0.45
MO Dent County,0.19,0.14,0.08,0.41
MO Douglas County,0.23,0.16,0.1,0.49
MO Dunklin County,0.24,0.17,0.1,0.51
MO Franklin County,0.2,0.15,0.09,0.44
MO Gasconade County,0.19,0.14,0.08,0.41
MO Gentry County,0.21,0.15,0.09,0.45
MO Greene County,0.2,0.14,0.09,0.43
MO Grundy County,0.21,0.15,0.09,0.45
MO Harrison County,0.21,0.15,0.09,0.45
MO Henry County,0.22,0.16,0.1,0.48
MO Hickory County,0.22,0.16,0.09,0.47
MO Holt County,0.21,0.15,0.09,0.45
MO Howard County,0.21,0.15,0.09,0.45
MO Howell County,0.23,0.16,0.1,0.49
MO Iron County,0.23,0.17,0.1,0.5
MO Jackson County,0.18,0.13,0.08,0.39
MO Jasper County,0.22,0.16,0.09,0.47
MO Jefferson County,0.2,0.14,0.08,0.42
MO Johnson County,0.2,0.14,0.09,0.43
MO Knox County,0.21,0.15,0.09,0.45
MO Laclede County,0.22,0.16,0.09,0.47
MO Lafayette County,0.2,0.14,0.09,0.43
MO Lawrence County,0.22,0.16,0.1,0.48
MO Lewis County,0.21,0.15,0.09,0.45
MO Lincoln County,0.21,0.15,0.09,0.45
MO Linn County,0.21,0.15,0.09,0.45
MO Livingston County,0.21,0.15,0.09,0.45
MO McDonald County,0.2,0.14,0.09,0.43
MO Macon County,0.21,0.15,0.09,0.45
MO Madison County,0.23,0.17,0.1,0.5
MO Maries County,0.19,0.14,0.08,0.41
MO Marion County,0.21,0.15,0.09,0.45
MO Mercer County,0.21,0.15,0.09,0.45
MO Miller County,0.22,0.15,0.09,0.46
MO Mississippi County,0.24,0.17,0.1,0.51
MO Moniteau County,0.19,0.14,0.08,0.41
MO Monroe County,0.21,0.15,0.09,0.45
MO Montgomery County,0.21,0.15,0.09,0.45
MO Morgan County,0.22,0.15,0.09,0.46
MO New Madrid County,0.24,0.17,0.1,0.51
MO Newton County,0.22,0.16,0.09,0.47
MO Nodaway County,0.21,0.15,0.09,0.45
MO Oregon County,0.23,0.16,0.1,0.49
MO Osage County,0.19,0.14,0.08,0.41
MO Ozark County,0.23,0.16,0.1,0.49
MO Pemiscot County,0.24,0.17,0.1,0.51
MO Perry County,0.23,0.16,0.1,0.49
MO Pettis County,0.21,0.15,0.09,0.45
MO Phelps County,0.19,0.14,0.08,0.41
MO Pike County,0.21,0.15,0.09,0.45
MO Platte County,0.17,0.12,0.07,0.36
MO Polk County,0.22,0.16,0.09,0.47
MO Pulaski County,0.22,0.15,0.09,0.46
MO Putnam County,0.21,0.15,0.09,0.45
MO Ralls County,0.21,0.15,0.09,0.45
MO Randolph County,0.21,0.15,0.09,0.45
MO Ray County,0.2,0.14,0.09,0.43
MO Reynolds County,0.23,0.17,0.1,0.5
MO Ripley County,0.23,0.17,0.1,0.5
MO St. Charles County,0.15,0.11,0.06,0.32
MO St. Clair County,0.22,0.16,0.1,0.48
MO Ste. Genevieve County,0.23,0.16,0.1,0.49
MO St. Francois County,0.23,0.16,0.1,0.49
MO St. Louis County,0.15,0.11,0.06,0.32
MO Saline County,0.21,0.15,0.09,0.45
MO Schuyler County,0.21,0.15,0.09,0.45
MO Scotland County,0.21,0.15,0.09,0.45
MO Scott County,0.2,0.14,0.09,0.43
MO Shannon County,0.23,0.16,0.1,0.49
MO Shelby County,0.21,0.15,0.09,0.45
MO Stoddard County,0.24,0.17,0.1,0.51
MO Stone County,0.2,0.14,0.09,0.43
MO Sullivan County,0.21,0.15,0.09,0.45
MO Taney County,0.2,0.14,0.09,0.43
MO Texas County,0.23,0.16,0.1,0.49
MO Vernon County,0.22,0.16,0.1,0.48
MO Warren County,0.21,0.15,0.09,0.45
MO Washington County,0.23,0.16,0.1,0.49
MO Wayne County,0.23,0.17,0.1,0.5
MO Webster County,0.19,0.14,0.09,0.42
MO Worth County,0.21,0.15,0.09,0.45
MO Wright County,0.23,0.16,0.1,0.49
MO St. Louis city,0.18,0.12,0.07,0.37
MT Beaverhead County,0.27,0.23,0.15,0.65
MT Big Horn County,0.31,0.26,0.18,0.75
MT Blaine County,0.32,0.27,0.18,0.77
MT Broadwater County,0.27,0.23,0.15,0.65
MT Carbon County,0.26,0.22,0.15,0.63
MT Carter County,0.31,0.26,0.18,0.75
MT Cascade County,0.32,0.27,0.18,0.77
MT Chouteau County,0.32,0.27,0.18,0.77
MT Custer County,0.31,0.26,0.18,0.75
MT Daniels County,0.31,0.26,0.18,0.75
MT Dawson County,0.31,0.26,0.18,0.75
MT Deer Lodge County,0.27,0.23,0.15,0.65
MT Fallon County,0.31,0.26,0.18,0.75
MT Fergus County,0.32,0.27,0.18,0.77
MT Flathead County,0.29,0.25,0.17,0.71
MT Gallatin County,0.26,0.22,0.15,0.63
MT Garfield County,0.31,0.26,0.18,0.75
MT Glacier County,0.29,0.25,0.17,0.71
MT Golden Valley County,0.31,0.26,0.18,0.75
MT Granite County,0.27,0.23,0.15,0.65
MT Hill County,0.32,0.27,0.18,0.77
MT Jefferson County,0.27,0.23,0.15,0.65
MT Judith Basin County,0.32,0.27,0.18,0.77
MT Lake County,0.29,0.24,0.16,0.69
MT Lewis and Clark County,0.27,0.23,0.15,0.65
MT Liberty County,0.32,0.27,0.18,0.77
MT Lincoln County,0.29,0.25,0.17,0.71
MT McCone County,0.31,0.26,0.18,0.75
MT Madison County,0.27,0.23,0.15,0.65
MT Meagher County,0.32,0.27,0.18,0.77
MT Mineral County,0.29,0.24,0.16,0.69
MT Missoula County,0.29,0.24,0.16,0.69
MT Musselshell County,0.31,0.26,0.18,0.75
MT Park County,0.26,0.22,0.15,0.63
MT Petroleum County,0.32,0.27,0.18,0.77
MT Phillips County,0.31,0.26,0.18,0.75
MT Pondera County,0.32,0.27,0.18,0.77
MT Powder River County,0.31,0.26,0.18,0.75
MT Powell County,0.27,0.23,0.15,0.65
MT Prairie County,0.31,0.26,0.18,0.75
MT Ravalli County,0.29,0.24,0.16,0.69
MT Richland County,0.31,0.26,0.18,0.75
MT Roosevelt County,0.31,0.26,0.18,0.75
MT Rosebud County,0.31,0.26,0.18,0.75
MT Sanders County,0.29,0.24,0.16,0.69
MT Sheridan County,0.31,0.26,0.18,0.75
MT Silver Bow County,0.27,0.23,0.15,0.65
MT Stillwater County,0.26,0.22,0.15,0.63
MT Sweet Grass County,0.26,0.22,0.15,0.63
MT Teton County,0.32,0.27,0.18,0.77
MT Toole County,0.32,0.27,0.18,0.77
MT Treasure County,0.31,0.26,0.18,0.75
MT Golden Valley County,0.31,0.26,0.18,0.75
MT Wheatland County,0.32,0.27,0.18,0.77
MT Wibaux County,0.31,0.26,0.18,0.75
MT Yellowstone County,0.3,0.25,0.17,0.72
NE Adams County,0.13,0.09,0.05,0.27
NE Antelope County,0.13,0.08,0.05,0.26
NE Arthur County,0.13,0.09,0.05,0.27
NE Banner County,0.13,0.08,0.05,0.26
NE Blaine County,0.14,0.09,0.06,0.29
NE Boone County,0.13,0.08,0.05,0.26
NE Box Butte County,0.13,0.08,0.05,0.26
NE Boyd County,0.13,0.08,0.05,0.26
NE Brown County,0.13,0.08,0.05,0.26
NE Buffalo County,0.13,0.09,0.05,0.27
NE Burt County,0.13,0.08,0.05,0.26
NE Butler County,0.14,0.09,0.06,0.29
NE Cass County,0.13,0.09,0.05,0.27
NE Cedar County,0.13,0.08,0.05,0.26
NE Chase County,0.13,0.09,0.05,0.27
NE Cherry County,0.13,0.08,0.05,0.26
NE Cheyenne County,0.13,0.08,0.05,0.26
NE Clay County,0.13,0.09,0.05,0.27
NE Colfax County,0.13,0.08,0.05,0.26
NE Cuming County,0.13,0.08,0.05,0.26
NE Custer County,0.14,0.09,0.06,0.29
NE Dakota County,0.13,0.08,0.05,0.26
NE Dawes County,0.13,0.08,0.05,0.26
NE Dawson County,0.13,0.09,0.05,0.27
NE Deuel County,0.13,0.08,0.05,0.26
NE Dixon County,0.13,0.08,0.05,0.26
NE Dodge County,0.13,0.09,0.05,0.27
NE Douglas County,0.13,0.08,0.05,0.26
NE Dundy County,0.13,0.09,0.05,0.27
NE Fillmore County,0.14,0.09,0.06,0.29
NE Franklin County,0.13,0.09,0.05,0.27
NE Frontier County,0.13,0.09,0.05,0.27
NE Furnas County,0.13,0.09,0.05,0.27
NE Gage County,0.14,0.09,0.06,0.29
NE Garden County,0.13,0.08,0.05,0.26
NE Garfield County,0.14,0.09,0.06,0.29
NE Gosper County,0.13,0.09,0.05,0.27
NE Grant County,0.13,0.09,0.05,0.27
NE Greeley County,0.14,0.09,0.06,0.29
NE Hall County,0.14,0.09,0.06,0.29
NE Hamilton County,0.14,0.09,0.06,0.29
NE Harlan County,0.13,0.09,0.05,0.27
NE Hayes County,0.13,0.09,0.05,0.27
NE Hitchcock County,0.13,0.09,0.05,0.27
NE Holt County,0.13,0.08,0.05,0.26
NE Hooker County,0.13,0.09,0.05,0.27
NE Howard County,0.14,0.09,0.06,0.29
NE Jefferson County,0.14,0.09,0.06,0.29
NE Johnson County,0.14,0.09,0.06,0.29
NE Kearney County,0.13,0.09,0.05,0.27
NE Keith County,0.13,0.09,0.05,0.27
NE Keya Paha County,0.13,0.08,0.05,0.26
NE Kimball County,0.13,0.08,0.05,0.26
NE Knox County,0.13,0.08,0.05,0.26
NE Lancaster County,0.12,0.08,0.05,0.25
NE Lincoln County,0.13,0.09,0.05,0.27
NE Logan County,0.13,0.09,0.05,0.27
NE Loup County,0.14,0.09,0.06,0.29
NE McPherson County,0.13,0.09,0.05,0.27
NE Madison County,0.13,0.08,0.05,0.26
NE Merrick County,0.14,0.09,0.06,0.29
NE Morrill County,0.13,0.08,0.05,0.26
NE Nance County,0.13,0.08,0.05,0.26
NE Nemaha County,0.14,0.09,0.06,0.29
NE Nuckolls County,0.13,0.09,0.05,0.27
NE Otoe County,0.14,0.09,0.06,0.29
NE Pawnee County,0.14,0.09,0.06,0.29
NE Perkins County,0.13,0.09,0.05,0.27
NE Phelps County,0.13,0.09,0.05,0.27
NE Pierce County,0.13,0.08,0.05,0.26
NE Platte County,0.13,0.08,0.05,0.26
NE Polk County,0.14,0.09,0.06,0.29
NE Red Willow County,0.13,0.09,0.05,0.27
NE Richardson County,0.14,0.09,0.06,0.29
NE Rock County,0.13,0.08,0.05,0.26
