st_cty,vac_rate,low,med,high,tot_hesi,Th1_Historic_Undervaccination,Th2_Sociodemographic_Barriers,Th3_Resource_constrained_Healthcare_System,Th4_Healthcare_Accessibility_Barriers,party,believe_in_god,relig_rank,religious_index
IN Benton County,35.5,0.19,0.14,0.09,0.42,0.912129895,0.309773957,0.800700414,0.213307864,0,0.63,22,0.54
IN Blackford County,38.9,0.2,0.14,0.09,0.43,0.916268704,0.541865648,0.484240688,0.58548233,0,0.63,22,0.54
IN Boone County,61.7,0.13,0.1,0.06,0.29,0.897484877,0.010506208,0.17892391,0.112384591,0,0.63,22,0.54
IN Brown County,44.5,0.18,0.13,0.08,0.39,0.912766635,0.034702324,0.656797198,0.210442534,0,0.63,22,0.54
IN Carroll County,29.2,0.19,0.14,0.09,0.42,0.919134034,0.249283668,0.701050621,0.247691818,0,0.63,22,0.54
IN Cass County,37.3,0.19,0.14,0.09,0.42,0.953199618,0.816618911,0.400827762,0.70805476,0,0.63,22,0.54
IN Clark County,52.2,0.18,0.13,0.08,0.39,0.944285259,0.408468641,0.540910538,0.244189748,0,0.63,22,0.54
IN Clay County,46.9,0.19,0.14,0.09,0.42,0.962432346,0.265202165,0.794969755,0.067176059,0,0.63,22,0.54
IN Clinton County,40.6,0.19,0.14,0.09,0.42,0.902260427,0.555555556,0.702005731,0.677172875,0,0.63,22,0.54
IN Crawford County,31.9,0.17,0.13,0.08,0.38,0.966252786,0.788283986,0.82298631,0.249602038,0,0.63,22,0.54
IN Daviess County,27.2,0.18,0.14,0.09,0.41,0.993632601,0.695319962,0.487424387,0.944285259,0,0.63,22,0.54
IN Dearborn County,44.4,0.17,0.13,0.08,0.38,0.952562878,0.036930914,0.686405603,0.167462592,0,0.63,22,0.54
IN Decatur County,41.4,0.19,0.14,0.09,0.42,0.991722381,0.219356893,0.700095511,0.285577841,0,0.63,22,0.54
IN Delaware County,42.2,0.18,0.13,0.08,0.39,0.928685132,0.438077046,0.241006049,0.575612862,0,0.63,22,0.54
IN Dubois County,48.3,0.17,0.13,0.08,0.38,0.900668577,0.256287806,0.29672079,0.129576568,0,0.63,22,0.54
IN Elkhart County,36.7,0.18,0.14,0.09,0.41,0.962432346,0.58802929,0.390321554,0.798153454,0,0.63,22,0.54
IN Fayette County,32.7,0.19,0.14,0.09,0.42,0.909901305,0.669213626,0.445081184,0.639286851,0,0.63,22,0.54
IN Floyd County,50.1,0.17,0.13,0.08,0.38,0.936007641,0.076727157,0.332378223,0.204393505,0,0.63,22,0.54
IN Fountain County,39.7,0.19,0.14,0.09,0.42,0.987583572,0.329194524,0.855141675,0.416109519,0,0.63,22,0.54
IN Franklin County,26.1,0.17,0.13,0.08,0.38,0.947468959,0.224769182,0.742120344,0.240369309,0,0.63,22,0.54
IN Fulton County,34.6,0.18,0.13,0.08,0.39,0.934415791,0.341610952,0.538363578,0.499204075,0,0.63,22,0.54
IN Gibson County,39.6,0.15,0.11,0.07,0.33,0.913085005,0.156956383,0.788283986,0.3527539,0,0.63,22,0.54
IN Grant County,36.6,0.19,0.14,0.09,0.42,0.924546323,0.605539637,0.592486469,0.724609997,0,0.63,22,0.54
IN Greene County,34.3,0.18,0.14,0.09,0.41,0.931550462,0.487424387,0.890162369,0.340019102,0,0.63,22,0.54
IN Hamilton County,62.5,0.11,0.08,0.05,0.24,0.903852276,0.009869468,0.213944604,0.050939191,0,0.63,22,0.54
IN Hancock County,58.5,0.18,0.13,0.08,0.39,0.930276982,0.014326648,0.506844954,0.127984718,0,0.63,22,0.54
IN Harrison County,43.9,0.17,0.13,0.08,0.38,0.945877109,0.263610315,0.750397962,0.242916269,0,0.63,22,0.54
IN Hendricks County,61.9,0.14,0.11,0.06,0.31,0.929321872,0.013371538,0.481693728,0.073861827,0,0.63,22,0.54
IN Henry County,44.6,0.2,0.14,0.09,0.43,0.989493792,0.406558421,0.754218402,0.250238777,0,0.63,22,0.54
IN Howard County,40.7,0.19,0.14,0.09,0.42,0.919770774,0.432346387,0.328557784,0.632282713,0,0.63,22,0.54
IN Huntington County,44.4,0.19,0.14,0.09,0.42,0.896211398,0.290035021,0.747532633,0.347978351,0,0.63,22,0.54
IN Jackson County,44.3,0.15,0.11,0.07,0.33,0.922317733,0.76727157,0.270614454,0.522445081,0,0.63,22,0.54
IN Jasper County,40.1,0.18,0.13,0.08,0.39,0.947468959,0.319006686,0.807386183,0.148042025,0,0.63,22,0.54
IN Jay County,32.7,0.2,0.14,0.09,0.43,0.982171283,0.665711557,0.379496975,0.820439351,0,0.63,22,0.54
IN Jefferson County,48.2,0.19,0.14,0.09,0.42,0.920407514,0.47277937,0.486469277,0.344794651,0,0.63,22,0.54
IN Jennings County,34,0.19,0.14,0.09,0.42,0.94237504,0.475326329,0.533588029,0.316459726,0,0.63,22,0.54
IN Johnson County,50.9,0.15,0.12,0.07,0.34,0.910538045,0.021012416,0.569245463,0.101241643,0,0.63,22,0.54
IN Knox County,42.4,0.17,0.13,0.08,0.38,0.968481375,0.402101242,0.426934097,0.7086915,0,0.63,22,0.54
IN Kosciusko County,35.3,0.18,0.13,0.08,0.39,0.916268704,0.316141356,0.728112066,0.631009233,0,0.63,22,0.54
IN Lake County,48.7,0.16,0.11,0.07,0.34,0.956064947,0.595670169,0.535816619,0.657115568,1,0.63,22,0.54
IN Lawrence County,42.2,0.18,0.14,0.09,0.41,0.898758357,0.443489335,0.315186246,0.391913403,0,0.63,22,0.54
IN Madison County,44.5,0.19,0.14,0.09,0.42,0.929003502,0.436166826,0.46800382,0.671442216,0,0.63,22,0.54
IN Marion County,47.8,0.17,0.12,0.07,0.36,0.94014645,0.654250239,0.246099968,0.697548551,1,0.63,22,0.54
IN Marshall County,38.5,0.18,0.13,0.08,0.39,0.953199618,0.734161095,0.52849411,0.722063037,0,0.63,22,0.54
IN Martin County,40.7,0.18,0.14,0.09,0.41,0.996497931,0.392231773,0.549506527,0.128303088,0,0.63,22,0.54
